symbol,action,entry,exit,sl,tp,pnl_usd,pnl_cost,lot,regime,result,bars_held,open_time,close_time
BTCUSD,SELL,230.0,215.85873,246.59714,188.50714,14.14,4.16,0.01,TREND_DOWN,SL,3,2015-04-24 02:00:00,2015-04-27 02:00:00
BTCUSD,SELL,230.13,238.61857,238.61857,208.90857,-8.49,-23.46,0.01,TREND_DOWN,SL,4,2015-06-11 02:00:00,2015-06-15 02:00:00
BTCUSD,BUY,272.51,282.41373,252.99571,321.29571,9.9,-0.08,0.01,TREND_UP,SL,3,2015-07-22 02:00:00,2015-07-25 02:00:00
BTCUSD,BUY,281.6,264.83429,264.83429,323.51429,-16.77,-26.75,0.01,TREND_UP,SL,9,2015-07-30 02:00:00,2015-08-08 02:00:00
BTCUSD,SELL,228.61,245.21571,245.21571,187.09571,-16.61,-31.58,0.01,TREND_DOWN,SL,3,2015-09-05 02:00:00,2015-09-08 02:00:00
BTCUSD,BUY,316.32,376.7332,274.82714,420.05214,60.41,45.44,0.01,TREND_UP,SL,14,2015-11-15 01:00:00,2015-12-02 01:00:00
BTCUSD,BUY,431.16,447.82218,398.03,513.985,16.66,1.67,0.01,TREND_UP,SL,10,2015-12-29 01:00:00,2016-01-09 01:00:00
BTCUSD,SELL,386.4,416.98286,416.98286,309.94286,-30.58,-45.56,0.01,TREND_DOWN,SL,12,2016-02-05 01:00:00,2016-02-17 01:00:00
BTCUSD,BUY,430.05,406.41429,406.41429,489.13929,-23.64,-46.1,0.01,TREND_UP,SL,3,2016-03-02 01:00:00,2016-03-05 01:00:00
BTCUSD,SELL,412.07,427.16857,427.16857,374.32357,-15.1,-37.56,0.01,TREND_UP,SL,27,2016-03-20 01:00:00,2016-04-16 02:00:00
BTCUSD,BUY,627.75,666.45852,553.06429,814.46429,38.71,28.72,0.01,TREND_UP,SL,9,2016-06-27 02:00:00,2016-07-06 02:00:00
BTCUSD,SELL,647.0,564.00469,694.04429,529.38929,83.0,73.0,0.01,TREND_UP,SL,20,2016-07-14 02:00:00,2016-08-05 02:00:00
BTCUSD,SELL,577.0,600.81429,600.81429,517.46429,-23.81,-46.27,0.01,TREND_DOWN,SL,14,2016-08-20 02:00:00,2016-09-04 02:00:00
BTCUSD,BUY,608.0,614.35895,582.04,672.9,6.36,-8.62,0.01,TREND_DOWN,SL,25,2016-09-15 02:00:00,2016-10-10 02:00:00
BTCUSD,BUY,627.97,633.72036,611.47286,669.21286,5.75,-4.25,0.01,TREND_UP,SL,3,2016-10-19 02:00:00,2016-10-22 02:00:00
BTCUSD,BUY,690.62,731.5752,648.34429,796.30929,40.96,18.48,0.01,TREND_UP,SL,14,2016-11-04 01:00:00,2016-11-18 01:00:00
BTCUSD,BUY,731.2,768.31975,709.81429,788.22857,37.12,14.64,0.01,TREND_UP,SL,6,2016-11-27 01:00:00,2016-12-03 01:00:00
BTCUSD,BUY,890.8,870.52857,870.52857,941.47857,-20.27,-30.27,0.01,TREND_UP,SL,12,2017-01-18 04:00:00,2017-01-18 16:00:00
BTCUSD,BUY,883.0,890.56388,869.38571,917.03571,7.56,-2.44,0.01,TREND_DOWN,SL,5,2017-01-19 13:00:00,2017-01-19 18:00:00
BTCUSD,BUY,897.8,886.4,886.4,926.3,-11.4,-21.39,0.01,TREND_UP,SL,7,2017-01-20 05:00:00,2017-01-20 12:00:00
BTCUSD,BUY,902.69,908.69207,892.38,928.465,6.0,-4.0,0.01,TREND_UP,SL,5,2017-01-23 13:00:00,2017-01-23 18:00:00
BTCUSD,BUY,910.0,899.04286,899.04286,937.39286,-10.96,-25.94,0.01,TREND_UP,SL,5,2017-01-23 22:00:00,2017-01-24 03:00:00
BTCUSD,SELL,889.7,899.21429,899.21429,865.91429,-9.51,-19.5,0.01,TREND_DOWN,SL,18,2017-01-25 17:00:00,2017-01-26 11:00:00
BTCUSD,BUY,910.7,914.56388,902.38571,931.48571,3.86,-6.14,0.01,TREND_UP,SL,8,2017-01-27 05:00:00,2017-01-27 13:00:00
