symbol,action,entry,exit,sl,tp,pnl_usd,pnl_cost,lot,regime,result,bars_held,open_time,close_time
GBPJPY,SELL,179.43,179.97486,179.97486,178.06786,-1089.72,-1090.81,0.02,TREND_DOWN,SL,1,2015-01-12 11:00:00,2015-01-12 12:00:00
GBPJPY,SELL,178.032,177.23884,179.03157,175.53307,793.16,792.66,0.01,TREND_DOWN,SL,2,2015-01-14 10:00:00,2015-01-14 12:00:00
GBPJPY,BUY,178.887,178.22371,178.22371,180.54521,-663.29,-663.79,0.01,RANGING,SL,1,2015-01-15 11:00:00,2015-01-15 12:00:00
GBPJPY,SELL,176.501,177.69429,177.69429,173.51779,-1193.29,-1194.21,0.01,TREND_DOWN,SL,12,2015-01-16 06:00:00,2015-01-16 18:00:00
GBPJPY,BUY,177.682,178.15543,176.68329,180.17879,473.43,472.59,0.01,RANGING,SL,18,2015-01-19 01:00:00,2015-01-19 19:00:00
GBPJPY,BUY,179.743,178.927,178.927,181.783,-816.0,-817.2,0.01,TREND_UP,SL,5,2015-01-21 01:00:00,2015-01-21 06:00:00
GBPJPY,SELL,177.95,179.02343,179.02343,175.26643,-1073.43,-1073.93,0.01,RANGING,SL,12,2015-01-21 18:00:00,2015-01-22 06:00:00
GBPJPY,BUY,178.51,177.83671,177.83671,180.19321,-673.29,-673.79,0.01,TREND_DOWN,SL,7,2015-01-22 10:00:00,2015-01-22 17:00:00
GBPJPY,SELL,176.786,176.03668,177.84557,174.13707,749.32,748.0,0.01,TREND_DOWN,SL,5,2015-01-23 22:00:00,2015-01-26 03:00:00
GBPJPY,BUY,178.542,177.85186,177.85186,180.26736,-690.14,-691.04,0.01,TREND_UP,SL,9,2015-01-27 05:00:00,2015-01-27 14:00:00
GBPJPY,BUY,179.085,178.45886,178.45886,180.65036,-626.14,-626.46,0.01,TREND_UP,SL,9,2015-01-28 10:00:00,2015-01-28 19:00:00
GBPJPY,SELL,176.91,176.50548,177.829,174.6125,404.52,403.76,0.01,TREND_DOWN,SL,21,2015-01-30 22:00:00,2015-02-02 19:00:00
GBPJPY,BUY,178.383,177.75729,177.75729,179.94729,-625.71,-625.95,0.01,TREND_UP,SL,2,2015-02-04 09:00:00,2015-02-04 11:00:00
GBPJPY,BUY,179.871,181.38579,179.21343,181.51493,1514.79,1514.39,0.01,TREND_UP,SL,13,2015-02-06 04:00:00,2015-02-06 18:00:00
GBPJPY,BUY,181.196,180.271,180.271,183.5085,-925.0,-925.42,0.01,TREND_UP,SL,9,2015-02-09 04:00:00,2015-02-09 13:00:00
GBPJPY,SELL,180.528,181.07,181.07,179.173,-1084.0,-1084.89,0.02,RANGING,SL,6,2015-02-10 05:00:00,2015-02-10 11:00:00
GBPJPY,BUY,182.2,182.83539,181.78443,183.23893,1270.78,1270.01,0.02,TREND_UP,SL,4,2015-02-11 08:00:00,2015-02-11 12:00:00
GBPJPY,BUY,183.18914,182.45986,182.45986,185.01186,-729.28,-729.54,0.01,TREND_UP,SL,14,2015-02-11 21:00:00,2015-02-12 11:00:00
GBPJPY,SELL,182.93,182.65902,183.49771,181.51071,270.98,270.58,0.01,RANGING,SL,23,2015-02-13 11:00:00,2015-02-16 10:00:00
GBPJPY,SELL,181.984,182.53857,182.53857,180.59757,-1109.14,-1109.89,0.02,TREND_DOWN,SL,8,2015-02-17 04:00:00,2015-02-17 12:00:00
