symbol,action,entry,exit,sl,tp,pnl_usd,pnl_cost,lot,regime,result,bars_held,open_time,close_time
XAUUSD,BUY,1238.26,1228.66714,1228.66714,1262.24214,-863.36,-903.77,0.09,TREND_UP,SL,8,2015-01-13 14:00:00,2015-01-13 22:00:00
XAUUSD,BUY,1258.76,1268.28066,1249.35429,1282.27429,856.86,821.06,0.09,TREND_UP,SL,10,2015-01-16 07:00:00,2015-01-16 17:00:00
XAUUSD,BUY,1276.37,1304.07714,1265.28714,1304.07714,2216.57,2191.14,0.08,TREND_UP,TP,15,2015-01-19 06:00:00,2015-01-21 01:00:00
XAUUSD,SELL,1281.22,1290.46714,1290.46714,1258.10214,-832.24,-901.6,0.09,TREND_DOWN,SL,1,2015-01-27 00:00:00,2015-01-27 01:00:00
XAUUSD,BUY,1292.02,1281.39571,1281.39571,1318.58071,-849.94,-875.53,0.08,RANGING,SL,19,2015-01-28 03:00:00,2015-01-28 22:00:00
XAUUSD,SELL,1260.32,1270.62571,1270.62571,1234.55571,-824.46,-859.39,0.08,TREND_DOWN,SL,12,2015-01-30 06:00:00,2015-01-30 18:00:00
XAUUSD,BUY,1273.86,1279.51627,1261.69429,1304.27429,395.94,333.61,0.07,TREND_DOWN,SL,4,2015-02-02 01:00:00,2015-02-02 05:00:00
XAUUSD,SELL,1274.21,1281.28571,1281.28571,1256.52071,-707.57,-757.43,0.1,TREND_UP,SL,2,2015-02-02 19:00:00,2015-02-02 21:00:00
XAUUSD,SELL,1261.79,1258.19702,1275.02286,1228.70786,215.58,194.77,0.06,TREND_DOWN,SL,36,2015-02-04 05:00:00,2015-02-05 17:00:00
XAUUSD,BUY,1239.02,1241.4909,1234.14286,1251.21286,247.09,217.19,0.1,TREND_DOWN,SL,5,2015-02-09 15:00:00,2015-02-09 20:00:00
XAUUSD,SELL,1222.2,1232.08571,1232.08571,1197.48571,-790.86,-816.55,0.08,TREND_DOWN,SL,7,2015-02-12 04:00:00,2015-02-12 11:00:00
XAUUSD,SELL,1212.27,1208.31045,1222.82857,1185.87357,316.76,250.0,0.08,TREND_DOWN,SL,8,2015-02-18 01:00:00,2015-02-18 09:00:00
XAUUSD,SELL,1209.2,1204.42094,1215.47571,1193.51071,477.91,429.08,0.1,TREND_DOWN,SL,5,2015-02-18 09:00:00,2015-02-18 14:00:00
XAUUSD,BUY,1214.58,1208.45286,1208.45286,1229.89786,-612.71,-661.55,0.1,TREND_UP,SL,2,2015-02-19 16:00:00,2015-02-19 18:00:00
