iter	Passed	Remaining
0	1	108
1	1	83
2	2	75
3	2	70
4	3	67
5	4	64
6	4	63
7	5	61
8	6	61
9	6	60
10	7	59
11	7	58
12	9	62
13	9	61
14	10	59
15	11	58
16	12	58
17	12	58
18	13	57
19	14	56
20	14	55
21	15	53
22	15	52
23	16	51
24	16	50
25	17	49
26	18	48
27	18	48
28	19	47
29	19	46
30	20	45
31	21	45
32	21	44
33	22	43
34	23	43
35	24	44
36	25	43
37	26	42
38	26	42
39	27	41
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	31	37
46	32	36
47	33	35
48	33	34
49	34	34
50	34	33
51	35	32
52	36	31
53	36	31
54	37	30
55	38	30
56	39	29
57	40	29
58	41	28
59	41	27
60	42	27
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	46	22
67	46	22
68	47	21
69	47	20
70	48	19
71	49	19
72	50	18
73	50	17
74	51	17
75	52	16
76	53	15
77	53	15
78	54	14
79	55	13
80	56	13
81	57	12
82	57	11
83	58	11
84	59	10
85	59	9
86	60	9
87	60	8
88	61	7
89	62	6
90	62	6
91	63	5
92	63	4
93	64	4
94	65	3
95	65	2
96	66	2
97	67	1
98	67	0
99	68	0
