date,heure,symbol,direction,volume,prix_entree,prix_sortie,sl,tp,pnl,pnl_%_equity,equity_apres_trade,confiance_ia,setup,commentaire
2025-11-18,00:07:29,AUDNZD,buy,1.00,1.14857,1.14857,1.14835,1.14901,0,0,99723.68,0.95,entry_sf_ia7,""
2025-11-18,00:07:29,EURJPY,buy,1.00,179.95400,179.95400,179.90800,180.04600,0,0,99723.68,0.95,entry_sf_ia7,""
2025-11-18,00:07:30,JP225.cash,buy,1.00,49891.83000,49891.83000,49802.45000,50070.59000,0,0,99723.68,0.95,entry_sf_ia7,""
2025-11-18,00:07:30,US500.cash,buy,1.00,6682.77000,6682.77000,6680.30000,6687.71000,0,0,99723.68,0.95,entry_sf_ia7,""
2025-11-18,00:07:31,XAUUSD,sell,1.00,4034.63000,4034.63000,4038.89000,4026.11000,0,0,99723.68,0.95,entry_sf_ia7,""
2025-11-18,00:07:31,US500.cash,buy,0.20,6683.33000,6683.33000,0.00000,0.00000,0,0,99723.68,0.95,entry_sf_ia7,""
2025-11-18,00:08:31,AUDNZD,buy,1.00,1.14846,1.14846,1.14823,1.14892,0,0,99661.56,0.95,entry_sf_ia7,""
2025-11-18,00:08:31,EURJPY,buy,1.00,179.93400,179.93400,179.89100,180.02000,0,0,99661.56,0.95,entry_sf_ia7,""
2025-11-18,00:08:32,EURUSD,sell,1.00,1.15873,1.15873,1.15884,1.15851,0,0,99661.56,0.95,entry_sf_ia7,""
2025-11-18,00:08:32,JP225.cash,buy,1.00,49881.83000,49881.83000,49795.50000,50054.49000,0,0,99661.56,0.95,entry_sf_ia7,""
2025-11-18,00:08:32,US500.cash,buy,1.00,6682.77000,6682.77000,6680.30000,6687.71000,0,0,99661.56,0.95,entry_sf_ia7,""
2025-11-18,00:08:32,XAUUSD,sell,1.00,4034.54000,4034.54000,4039.00000,4025.62000,0,0,99661.56,0.95,entry_sf_ia7,""
2025-11-18,00:08:32,US500.cash,buy,0.20,6683.33000,6683.33000,0.00000,0.00000,0,0,99661.56,0.95,entry_sf_ia7,""
2025-11-18,00:09:33,AUDNZD,buy,1.00,1.14853,1.14853,1.14832,1.14895,0,0,99166.41,0.95,entry_sf_ia7,""
2025-11-18,00:09:33,EURJPY,buy,1.00,179.95900,179.95900,179.91600,180.04500,0,0,99166.41,0.95,entry_sf_ia7,""
2025-11-18,00:09:33,JP225.cash,buy,1.00,49890.83000,49890.83000,49806.15000,50060.19000,0,0,99166.41,0.95,entry_sf_ia7,""
2025-11-18,00:09:33,US500.cash,buy,1.00,6682.57000,6682.57000,6680.21000,6687.29000,0,0,99166.41,0.95,entry_sf_ia7,""
2025-11-18,00:09:34,XAUUSD,sell,1.00,4037.12000,4037.12000,4041.99000,4027.38000,0,0,99166.41,0.95,entry_sf_ia7,""
2025-11-18,00:09:34,US500.cash,buy,0.20,6683.13000,6683.13000,0.00000,0.00000,0,0,99166.41,0.95,entry_sf_ia7,""
2025-11-18,00:10:34,AUDNZD,buy,1.00,1.14847,1.14847,1.14826,1.14889,0,0,99061.88,0.95,entry_sf_ia7,""
2025-11-18,00:10:34,EURJPY,buy,1.00,179.94300,179.94300,179.90300,180.02300,0,0,99061.88,0.95,entry_sf_ia7,""
2025-11-18,00:10:35,JP225.cash,buy,1.00,49880.83000,49880.83000,49799.53000,50043.43000,0,0,99061.88,0.95,entry_sf_ia7,""
2025-11-18,00:10:35,US500.cash,buy,1.00,6682.07000,6682.07000,6679.83000,6686.55000,0,0,99061.88,0.95,entry_sf_ia7,""
2025-11-18,00:10:35,XAUUSD,sell,1.00,4037.05000,4037.05000,4041.79000,4027.57000,0,0,99061.88,0.95,entry_sf_ia7,""
2025-11-18,00:10:35,US500.cash,buy,0.20,6682.63000,6682.63000,0.00000,0.00000,0,0,99061.88,0.95,entry_sf_ia7,""
2025-11-18,00:11:36,BTCUSD,buy,0.20,92261.44000,92261.44000,92170.28000,92443.76000,0,0,98110.47,0.95,entry_sf_ia7,""
2025-11-18,00:11:36,EURJPY,buy,1.00,179.93900,179.93900,179.89900,180.01900,0,0,98110.47,0.95,entry_sf_ia7,""
2025-11-18,00:11:36,JP225.cash,buy,1.00,49836.83000,49836.83000,49754.43000,50001.63000,0,0,98110.47,0.95,entry_sf_ia7,""
2025-11-18,00:11:37,US500.cash,buy,1.00,6682.27000,6682.27000,6680.08000,6686.65000,0,0,98110.47,0.95,entry_sf_ia7,""
2025-11-18,00:12:37,AUDNZD,buy,1.00,1.14842,1.14842,1.14823,1.14880,0,0,98030.64,0.95,entry_sf_ia7,""
2025-11-18,00:12:37,BTCUSD,buy,0.20,92230.71000,92230.71000,92140.83000,92410.47000,0,0,98030.64,0.95,entry_sf_ia7,""
2025-11-18,00:12:37,ETHUSD,buy,0.50,3033.67000,3033.67000,3028.60000,3043.81000,0,0,98030.64,0.95,entry_sf_ia7,""
2025-11-18,00:12:38,EURJPY,buy,1.00,179.93400,179.93400,179.89100,180.02000,0,0,98030.64,0.95,entry_sf_ia7,""
2025-11-18,00:12:38,EURUSD,sell,1.00,1.15874,1.15874,1.15884,1.15854,0,0,98030.64,0.95,entry_sf_ia7,""
2025-11-18,00:12:38,JP225.cash,buy,1.00,49826.83000,49826.83000,49742.77000,49994.95000,0,0,98030.64,0.95,entry_sf_ia7,""
2025-11-18,00:13:38,BTCUSD,buy,0.20,92206.23000,92206.23000,92120.37000,92377.95000,0,0,98370.85,0.95,entry_sf_ia7,""
2025-11-18,00:13:39,ETHUSD,buy,0.50,3031.93000,3031.93000,3027.06000,3041.67000,0,0,98370.85,0.95,entry_sf_ia7,""
2025-11-18,00:13:39,EURUSD,sell,1.00,1.15874,1.15874,1.15884,1.15854,0,0,98370.85,0.95,entry_sf_ia7,""
2025-11-18,00:13:39,XAUUSD,sell,1.00,4037.10000,4037.10000,4041.60000,4028.10000,0,0,98370.85,0.95,entry_sf_ia7,""
2025-11-18,00:13:39,US500.cash,buy,0.20,6680.53000,6680.53000,0.00000,0.00000,0,0,98370.85,0.95,entry_sf_ia7,""
2025-11-18,00:14:40,ETHUSD,buy,0.50,3031.40000,3031.40000,3026.77000,3040.66000,0,0,98573.76,0.95,entry_sf_ia7,""
2025-11-18,00:14:40,EURUSD,sell,1.00,1.15873,1.15873,1.15883,1.15853,0,0,98573.76,0.95,entry_sf_ia7,""
