Symbol,Timeframe,Period,Type,Trades,WR,PnL,PF,DD_Max,Significant
AUDUSD,D1,2000,year,14,78.6%,1624.75,1.68,0.6,True
AUDUSD,D1,2001,year,24,54.2%,-2000.06,0.77,2.3,False
AUDUSD,D1,2002,year,23,69.6%,124.16,1.02,0.9,False
AUDUSD,D1,2003,year,28,89.3%,8494.08,4.54,0.8,True
AUDUSD,D1,2004,year,23,69.6%,2210.05,1.39,1.0,False
AUDUSD,D1,2005,year,19,52.6%,-3957.4,0.45,2.4,False
AUDUSD,D1,2006,year,23,60.9%,-184.6,0.97,0.8,False
AUDUSD,D1,2007,year,26,69.2%,3521.15,1.55,0.8,True
AUDUSD,D1,2008,year,23,73.9%,4922.42,2.03,0.4,True
AUDUSD,D1,2009,year,26,73.1%,1139.01,1.2,1.1,True
AUDUSD,D1,2010,year,29,58.6%,-2156.41,0.78,1.6,False
AUDUSD,D1,2011,year,25,52.0%,-3304.16,0.66,1.9,False
AUDUSD,D1,2012,year,25,76.0%,2423.6,1.5,0.8,True
AUDUSD,D1,2013,year,23,82.6%,5158.39,2.61,0.5,True
AUDUSD,D1,2014,year,21,71.4%,2893.92,1.6,1.1,True
AUDUSD,D1,2015,year,20,75.0%,2556.04,1.64,0.8,True
AUDUSD,D1,2016,year,22,54.5%,-1629.23,0.8,2.3,False
AUDUSD,D1,2017,year,21,76.2%,2330.21,1.58,0.5,True
AUDUSD,D1,2018,year,24,75.0%,734.13,1.15,1.2,True
AUDUSD,D1,2019,year,21,52.4%,-2853.88,0.63,1.9,False
AUDUSD,D1,2020,year,28,75.0%,3603.82,1.64,1.1,True
AUDUSD,D1,2021,year,28,57.1%,-2643.15,0.72,1.9,False
AUDUSD,D1,2022,year,26,65.4%,802.58,1.11,1.8,False
AUDUSD,D1,2023,year,21,47.6%,-3531.23,0.6,3.2,False
AUDUSD,D1,2024,year,23,73.9%,1235.72,1.26,1.7,True
AUDUSD,D1,2025,year,18,55.6%,-2231.65,0.64,2.1,False
AUDUSD,D1,2026,year,8,75.0%,500.83,1.31,0.5,False
AUDUSD,H1,2010,year,384,69.5%,7734.93,1.14,2.1,True
AUDUSD,H1,2011,year,591,70.6%,21614.49,1.27,3.3,True
AUDUSD,H1,2012,year,587,67.1%,-69.81,1.0,2.9,True
AUDUSD,H1,2013,year,572,65.6%,2075.88,1.03,1.9,True
AUDUSD,H1,2014,year,564,68.3%,2275.7,1.05,3.2,True
AUDUSD,H1,2015,year,569,68.0%,2707.34,1.05,2.0,True
AUDUSD,H1,2016,year,575,69.7%,6539.2,1.13,2.2,True
AUDUSD,H1,2017,year,545,65.1%,-2732.17,0.93,2.9,True
AUDUSD,H1,2018,year,541,66.5%,1790.04,1.05,1.7,True
AUDUSD,H1,2019,year,475,66.7%,-1533.05,0.95,1.9,True
AUDUSD,H1,2020,year,597,67.5%,4749.02,1.09,2.1,True
AUDUSD,H1,2021,year,576,67.0%,2779.97,1.07,1.7,True
AUDUSD,H1,2022,year,590,66.9%,6659.02,1.12,2.1,True
AUDUSD,H1,2023,year,590,63.9%,-5045.41,0.9,3.8,True
AUDUSD,H1,2024,year,578,64.5%,-4125.4,0.89,2.8,True
AUDUSD,H1,2025,year,566,68.2%,2106.22,1.06,0.9,True
AUDUSD,H1,2026,year,254,68.1%,4187.58,1.23,1.2,True
AUDUSD,H4,2000,year,87,72.4%,5232.44,1.41,2.0,True
AUDUSD,H4,2001,year,122,68.0%,-2597.31,0.88,2.4,True
AUDUSD,H4,2002,year,104,64.4%,-3998.14,0.75,2.6,True
AUDUSD,H4,2003,year,109,71.6%,4670.31,1.26,1.4,True
AUDUSD,H4,2004,year,128,68.0%,-1273.79,0.96,3.6,True
AUDUSD,H4,2005,year,116,68.1%,-3791.94,0.82,3.3,True
AUDUSD,H4,2006,year,111,73.0%,6770.78,1.44,1.7,True
AUDUSD,H4,2007,year,157,77.1%,16399.11,1.79,1.1,True
AUDUSD,H4,2008,year,151,64.9%,-3018.23,0.92,4.0,True
AUDUSD,H4,2009,year,146,66.4%,-1564.37,0.96,4.7,True
AUDUSD,H4,2010,year,146,67.1%,7005.18,1.2,4.1,True
AUDUSD,H4,2011,year,149,69.1%,6101.25,1.17,3.9,True
AUDUSD,H4,2012,year,148,63.5%,-3154.63,0.91,4.4,True
AUDUSD,H4,2013,year,146,67.1%,-809.32,0.97,3.1,True
AUDUSD,H4,2014,year,138,68.8%,3123.17,1.14,1.8,True
AUDUSD,H4,2015,year,141,66.0%,-2525.77,0.92,3.0,True
AUDUSD,H4,2016,year,138,64.5%,-229.08,0.99,2.4,True
AUDUSD,H4,2017,year,133,65.4%,-748.64,0.96,2.8,True
AUDUSD,H4,2018,year,142,66.2%,3062.83,1.15,1.3,True
AUDUSD,H4,2019,year,114,67.5%,-672.32,0.96,1.9,True
AUDUSD,H4,2020,year,141,68.1%,8326.96,1.36,1.9,True
AUDUSD,H4,2021,year,144,61.1%,-7381.33,0.73,3.9,True
AUDUSD,H4,2022,year,148,62.2%,-6317.98,0.81,3.9,True
AUDUSD,H4,2023,year,141,58.9%,-6247.64,0.78,5.0,True
AUDUSD,H4,2024,year,145,69.7%,4795.67,1.29,2.5,True
AUDUSD,H4,2025,year,135,66.7%,27.15,1.0,2.4,True
AUDUSD,H4,2026,year,55,69.1%,1472.94,1.18,1.5,True
BTCUSD,D1,2011,year,25,88.0%,386.94,1.43,0.3,True
BTCUSD,D1,2012,year,38,65.8%,147.47,1.15,0.1,False
BTCUSD,D1,2013,year,44,72.7%,7400.9,1.84,0.8,True
BTCUSD,D1,2014,year,37,73.0%,3297.95,1.41,1.3,True
BTCUSD,D1,2015,year,39,59.0%,1584.8,1.13,1.7,False
BTCUSD,D1,2016,year,38,68.4%,5030.65,1.52,1.3,True
BTCUSD,D1,2017,year,39,76.9%,17338.33,3.41,0.8,True
BTCUSD,D1,2018,year,31,67.7%,1756.3,1.15,2.2,True
BTCUSD,D1,2019,year,28,75.0%,1722.61,1.27,0.9,True
BTCUSD,D1,2020,year,37,81.1%,14042.45,3.0,1.2,True
BTCUSD,D1,2021,year,29,75.9%,10992.93,1.26,12.4,True
BTCUSD,D1,2022,year,30,60.0%,395.63,1.01,6.4,False
BTCUSD,D1,2023,year,34,79.4%,12445.85,2.34,1.5,True
BTCUSD,D1,2024,year,33,54.5%,-11598.91,0.84,24.5,False
BTCUSD,D1,2025,year,26,69.2%,9700.89,1.21,9.2,True
BTCUSD,D1,2026,year,18,66.7%,1336.78,1.04,5.6,False
BTCUSD,H1,2011,year,25,88.0%,386.94,1.43,0.3,True
BTCUSD,H1,2012,year,38,65.8%,147.47,1.15,0.1,False
BTCUSD,H1,2013,year,44,72.7%,7400.9,1.84,0.8,True
BTCUSD,H1,2014,year,37,73.0%,3297.95,1.41,1.3,True
BTCUSD,H1,2015,year,39,59.0%,1191.42,1.09,1.7,False
BTCUSD,H1,2016,year,38,68.4%,5030.65,1.52,1.3,True
BTCUSD,H1,2017,year,683,72.8%,81057.65,1.54,4.0,True
BTCUSD,H1,2018,year,543,69.6%,4545.81,1.03,8.2,True
BTCUSD,H1,2019,year,431,70.5%,24509.82,1.24,3.6,True
BTCUSD,H1,2020,year,459,67.8%,16.9,1.0,4.7,True
BTCUSD,H1,2021,year,641,70.4%,39357.88,1.17,8.3,True
BTCUSD,H1,2022,year,694,69.0%,21592.31,1.12,4.9,True
BTCUSD,H1,2023,year,667,68.2%,7810.83,1.05,5.1,True
BTCUSD,H1,2024,year,727,71.0%,64452.0,1.29,7.3,True
BTCUSD,H1,2025,year,746,67.6%,29923.89,1.11,7.6,True
BTCUSD,H1,2026,year,313,72.2%,30710.56,1.35,3.2,True
BTCUSD,H4,2011,year,25,88.0%,386.94,1.43,0.3,True
BTCUSD,H4,2012,year,38,65.8%,147.47,1.15,0.1,False
BTCUSD,H4,2013,year,44,72.7%,7400.9,1.84,0.8,True
BTCUSD,H4,2014,year,37,73.0%,3297.95,1.41,1.3,True
BTCUSD,H4,2015,year,39,59.0%,1191.42,1.09,1.7,False
BTCUSD,H4,2016,year,38,68.4%,5030.65,1.52,1.3,True
BTCUSD,H4,2017,year,186,68.8%,10231.51,1.2,2.4,True
BTCUSD,H4,2018,year,132,71.2%,6072.26,1.19,2.9,True
BTCUSD,H4,2019,year,127,73.2%,7957.56,1.28,3.1,True
BTCUSD,H4,2020,year,128,73.4%,1094.33,1.04,4.6,True
BTCUSD,H4,2021,year,167,68.9%,26607.5,1.24,6.0,True
BTCUSD,H4,2022,year,197,71.6%,14187.44,1.23,3.9,True
BTCUSD,H4,2023,year,174,73.6%,17165.27,1.44,3.1,True
BTCUSD,H4,2024,year,202,70.8%,14942.78,1.13,7.9,True
BTCUSD,H4,2025,year,180,66.7%,1864.5,1.01,16.3,True
BTCUSD,H4,2026,year,90,71.1%,14264.65,1.29,7.6,True
ETHUSD,D1,2016,year,23,65.2%,-47.65,0.96,0.4,False
ETHUSD,D1,2017,year,39,76.9%,12156.35,3.11,0.8,True
ETHUSD,D1,2018,year,33,72.7%,7770.8,2.08,1.0,True
ETHUSD,D1,2019,year,23,65.2%,-148.89,0.98,1.5,False
ETHUSD,D1,2020,year,27,70.4%,4259.83,1.67,1.2,True
ETHUSD,D1,2021,year,30,76.7%,5793.28,2.03,0.8,True
ETHUSD,D1,2022,year,36,69.4%,2378.72,1.27,1.3,True
ETHUSD,D1,2023,year,26,73.1%,1572.88,1.28,1.6,True
ETHUSD,D1,2024,year,35,60.0%,-2368.08,0.79,2.2,False
ETHUSD,D1,2025,year,33,75.8%,4388.19,1.69,1.0,True
ETHUSD,D1,2026,year,16,68.8%,793.02,1.2,1.0,False
ETHUSD,H1,2016,year,23,65.2%,-47.65,0.96,0.4,False
ETHUSD,H1,2017,year,669,71.2%,50114.02,1.49,3.3,True
ETHUSD,H1,2018,year,669,69.8%,50292.83,1.34,3.0,True
ETHUSD,H1,2019,year,532,72.2%,25614.96,1.46,1.3,True
ETHUSD,H1,2020,year,518,68.0%,17761.43,1.18,2.4,True
ETHUSD,H1,2021,year,653,70.1%,40069.83,1.26,4.8,True
ETHUSD,H1,2022,year,775,71.5%,47216.7,1.27,3.4,True
ETHUSD,H1,2023,year,686,66.5%,-10726.39,0.94,12.7,True
ETHUSD,H1,2024,year,730,72.3%,48820.17,1.3,4.8,True
ETHUSD,H1,2025,year,705,67.0%,13078.79,1.07,10.4,True
ETHUSD,H1,2026,year,307,68.4%,3840.6,1.05,5.3,True
ETHUSD,H4,2016,year,23,65.2%,-47.65,0.96,0.4,False
ETHUSD,H4,2017,year,177,72.3%,11425.83,1.36,1.3,True
ETHUSD,H4,2018,year,181,68.0%,17132.85,1.38,3.3,True
ETHUSD,H4,2019,year,132,65.9%,2721.05,1.09,3.6,True
ETHUSD,H4,2020,year,141,73.8%,17395.48,1.61,1.6,True
ETHUSD,H4,2021,year,176,72.2%,17446.6,1.45,2.0,True
ETHUSD,H4,2022,year,199,66.3%,5878.43,1.11,3.2,True
ETHUSD,H4,2023,year,179,64.2%,-4530.95,0.91,5.0,True
ETHUSD,H4,2024,year,194,71.6%,14485.61,1.33,2.4,True
ETHUSD,H4,2025,year,192,69.3%,17443.85,1.37,2.7,True
ETHUSD,H4,2026,year,86,70.9%,5387.23,1.27,4.1,True
EURJPY,D1,2000,year,2,50.0%,-420.39,0.82,1.2,False
EURJPY,D1,2001,year,19,78.9%,6868.72,1.67,2.1,True
EURJPY,D1,2002,year,17,41.2%,-12703.06,0.33,7.9,False
EURJPY,D1,2003,year,25,80.0%,17075.07,2.41,2.8,True
EURJPY,D1,2004,year,21,66.7%,-1599.56,0.91,5.1,False
EURJPY,D1,2005,year,21,81.0%,6303.48,1.79,1.6,True
EURJPY,D1,2006,year,25,76.0%,5919.78,1.55,2.5,True
EURJPY,D1,2007,year,26,61.5%,4225.93,1.17,5.4,False
EURJPY,D1,2008,year,31,67.7%,29928.94,1.7,6.4,True
EURJPY,D1,2009,year,21,52.4%,-14340.8,0.66,9.1,False
EURJPY,D1,2010,year,24,54.2%,-11369.22,0.61,8.3,False
EURJPY,D1,2011,year,27,70.4%,2304.99,1.11,3.3,True
EURJPY,D1,2012,year,29,75.9%,14458.06,2.01,2.5,True
EURJPY,D1,2013,year,24,58.3%,36.18,1.0,9.7,False
EURJPY,D1,2014,year,20,70.0%,6582.46,1.61,2.1,False
EURJPY,D1,2015,year,21,71.4%,-1271.53,0.93,6.3,True
EURJPY,D1,2016,year,24,70.8%,-875.28,0.95,3.4,True
EURJPY,D1,2017,year,23,65.2%,953.38,1.08,3.2,False
EURJPY,D1,2018,year,24,62.5%,-2103.87,0.88,5.3,False
EURJPY,D1,2019,year,19,52.6%,-7263.16,0.44,3.6,False
EURJPY,D1,2020,year,22,63.6%,1353.8,1.12,1.9,False
EURJPY,D1,2021,year,25,72.0%,4440.01,1.5,1.9,True
EURJPY,D1,2022,year,23,47.8%,-14467.23,0.58,9.0,False
