symbol,direction,pnl,reason,timestamp
XAUUSD,sell,242.61,IMPORT,2026-06-14 22:25:52.166409
XAUUSD,sell,86.3,IMPORT,2026-06-15 09:44:04.703431
BTCUSD,sell,25.07,IMPORT,2026-06-15 13:40:06.662710
US500.cash,sell,0.76,IMPORT,2026-06-15 13:40:21.673600
ETHUSD,sell,12.3,IMPORT,2026-06-15 15:43:41.486793
ETHUSD,sell,2.14,IMPORT,2026-06-15 17:03:17.149857
BTCUSD,sell,10.05,IMPORT,2026-06-15 17:03:17.193726
BTCUSD,sell,-12.77,IMPORT,2026-06-16 00:11:34.142653
ETHUSD,sell,-13.04,IMPORT,2026-06-16 07:12:02.136624
ETHUSD,sell,12.62,IMPORT,2026-06-16 09:15:34.272503
EURUSD,sell,-5.24,IMPORT,2026-06-16 11:43:34.915394
US500.cash,sell,0.24,IMPORT,2026-06-16 12:17:04.348134
ETHUSD,sell,16.27,IMPORT,2026-06-16 12:36:49.938998
XAUUSD,sell,-10.28,IMPORT,2026-06-16 17:53:17.136546
US500.cash,sell,-2.31,IMPORT,2026-06-16 19:17:13.055388
ETHUSD,sell,-2.99,IMPORT,2026-06-16 19:36:58.682080
ETHUSD,sell,-2.08,IMPORT,2026-06-17 04:27:35.380893
XAUUSD,sell,-26.82,IMPORT,2026-06-17 04:27:35.494805
US500.cash,sell,0.75,IMPORT,2026-06-17 04:42:40.799410
XAUUSD,sell,42.42,IMPORT,2026-06-17 09:32:21.115345
BTCUSD,buy,6.76,IMPORT,2026-06-17 11:20:39.695634
US500.cash,sell,-0.62,IMPORT,2026-06-17 14:59:14.340082
US500.cash,sell,-0.59,IMPORT,2026-06-17 14:59:14.376233
US500.cash,sell,-0.53,IMPORT,2026-06-17 14:59:14.515233
US500.cash,sell,0.4,IMPORT,2026-06-17 15:41:55.314664
BTCUSD,buy,-32.47,IMPORT,2026-06-17 15:50:10.663574
BTCUSD,buy,-32.65,IMPORT,2026-06-17 15:50:55.675405
US500.cash,sell,0.35,IMPORT,2026-06-17 16:11:41.430396
US500.cash,sell,0.35,IMPORT,2026-06-17 16:31:26.959200
US500.cash,sell,-0.99,IMPORT,2026-06-17 17:08:28.266791
US500.cash,sell,-0.81,IMPORT,2026-06-17 17:08:28.336717
US500.cash,sell,-0.88,IMPORT,2026-06-17 17:08:28.481242
US500.cash,buy,-1.6800000000000002,IMPORT,2026-06-17 18:44:04.527966
BTCUSD,buy,16.6,IMPORT,2026-06-18 05:10:05.525614
ETHUSD,sell,-7.8100000000000005,IMPORT,2026-06-18 05:32:06.365953
ETHUSD,sell,-3.44,IMPORT,2026-06-18 08:17:52.974022
ETHUSD,sell,-2.7800000000000002,IMPORT,2026-06-18 08:17:53.007993
EURUSD,buy,7.59,IMPORT,2026-06-18 09:35:43.065797
EURUSD,buy,7.44,IMPORT,2026-06-18 09:38:43.175787
EURUSD,buy,7.95,IMPORT,2026-06-18 09:38:43.223889
EURUSD,buy,3.05,IMPORT,2026-06-18 10:19:55.350920
EURUSD,buy,4.6,IMPORT,2026-06-18 10:19:55.433619
EURUSD,buy,1.92,IMPORT,2026-06-18 10:20:25.367121
EURUSD,buy,2.85,IMPORT,2026-06-18 11:07:36.789748
EURUSD,buy,3.6,IMPORT,2026-06-18 11:07:36.863554
EURUSD,buy,3.2,IMPORT,2026-06-18 11:07:37.019065
EURUSD,buy,2.2,IMPORT,2026-06-18 11:25:07.352210
EURUSD,buy,2.5,IMPORT,2026-06-18 11:25:07.425229
US500.cash,buy,0.48,IMPORT,2026-06-18 11:26:22.389984
BTCUSD,buy,-3.25,IMPORT,2026-06-18 12:00:23.433487
BTCUSD,buy,-4.5,IMPORT,2026-06-18 12:01:38.436222
EURUSD,buy,2.1,IMPORT,2026-06-18 12:07:08.599187
BTCUSD,buy,-5.78,IMPORT,2026-06-18 12:10:38.713027
BTCUSD,buy,7.14,IMPORT,2026-06-18 13:50:39.018315
BTCUSD,buy,8.79,IMPORT,2026-06-18 13:50:39.079730
BTCUSD,buy,4.06,IMPORT,2026-06-18 14:23:55.093877
BTCUSD,buy,10.8,IMPORT,2026-06-18 14:58:11.272826
BTCUSD,buy,9.42,IMPORT,2026-06-18 14:58:11.368652
BTCUSD,buy,8.56,IMPORT,2026-06-18 14:58:11.574814
ETHUSD,sell,-3.91,IMPORT,2026-06-18 15:39:13.053680
ETHUSD,sell,-4.07,IMPORT,2026-06-18 15:39:13.146632
ETHUSD,sell,-4.03,IMPORT,2026-06-18 15:39:13.341708
BTCUSD,buy,41.9,IMPORT,2026-06-18 16:01:31.248503
BTCUSD,buy,42.29,IMPORT,2026-06-18 16:01:31.313695
BTCUSD,buy,34.88,IMPORT,2026-06-18 16:01:31.493349
BTCUSD,buy,6.99,IMPORT,2026-06-18 16:10:16.500291
ETHUSD,buy,3.48,IMPORT,2026-06-18 17:30:49.171101
