bar,action,entry,exit,result,profit_usd,lot,score
10001,SELL,78203.46,78510.00980968951,SL,-800.0000000000017,0.026096900885709363,0.95
10002,SELL,78180.04,78472.81910899738,SL,-796.7999999999904,0.02721505652259812,0.95
10003,SELL,78169.75,78445.86988692616,SL,-793.6128000000117,0.028741602382745004,0.95
10004,SELL,78207.92,78477.71846643143,SL,-790.4383487999955,0.02929736255565015,0.95
10022,BUY,78385.72,79090.76405205236,TP,1836.9787226111957,0.026054807742350618,0.95
10023,BUY,78410.77,79091.74376262006,TP,1854.1238573555843,0.027227537375622664,0.95
10024,BUY,78368.75,78838.04484255411,TP,1604.082011449328,0.03418068697962249,0.95
10034,BUY,78606.22,78250.58265957002,SL,-808.457333770466,0.02273263355284925,0.95
10036,BUY,78633.84,78282.63984422108,SL,-805.2235044353993,0.022927766152310267,0.95
10038,BUY,78649.51,78289.97430445593,SL,-802.002610417652,0.022306619908880686,0.95
10039,BUY,78671.81,78325.86113985194,SL,-798.7945999759737,0.023089961898822696,0.95
10041,BUY,78706.2,78359.30491140296,SL,-795.5994215760591,0.022934871312065213,0.936
10044,BUY,78624.8,79403.37863915622,TP,1848.9730557427856,0.023748057842257437,0.95
10046,BUY,78618.89,79371.4426021296,TP,1866.2301375963805,0.024798666994377105,0.95
10098,BUY,79959.0,79040.7330947446,SL,-918.2669052553974,0.01,0.95
10099,BUY,80046.31,79159.85358797714,SL,-886.4564120228606,0.01,0.95
10100,BUY,79983.36,79139.43190312163,SL,-843.9280968783714,0.01,0.95
10101,BUY,79871.29,79055.72462432721,SL,-815.5653756727843,0.01,0.95
10102,BUY,79666.19,78816.40000830384,SL,-849.7899916961615,0.01,0.95
10103,BUY,79712.59,78893.28072199643,SL,-819.3092780035659,0.01,0.95
10104,BUY,79823.76,79014.5185275681,SL,-809.2414724318951,0.01,0.95
10105,BUY,79856.37,79074.74934702752,SL,-783.5076065352793,0.010024141551987272,0.95
10109,SELL,79754.45,78548.19918308574,TP,1560.7471522182639,0.012938827732451688,0.946
10110,SELL,79702.44,78516.57138429391,TP,1573.2331294360076,0.013266504472751194,0.95
10111,SELL,79676.61,78544.09985684435,TP,1585.818994471503,0.014002691314116958,0.95
10112,SELL,79666.08,78558.76700992689,TP,1598.5055464272798,0.01443589627104196,0.95
