bar,action,entry,exit,result,profit_usd,lot,score
10005,SELL,2302.59,2308.03080729962,SL,-544.0807299619792,1.0,0.95
10037,BUY,2320.7,2345.854803312167,TP,1994.5591927003861,0.7929138494736857,0.95
10102,BUY,2370.71,2351.0729069352897,SL,-805.8019138509507,0.4103468426796069,0.95
10153,BUY,2359.97,2359.35,TIMEOUT,-28.72451850388624,0.46329868554663384,0.95
10198,BUY,2376.48,2361.9749689168407,SL,-802.4638081215409,0.5532313605678647,0.939
10246,SELL,2371.37,2383.763570852044,SL,-799.2539528890426,0.6448940038594537,0.95
10247,SELL,2370.71,2382.616887219755,SL,-796.0569370774791,0.6685684699832601,0.95
10248,SELL,2370.06,2381.4849667040585,SL,-792.8727093291953,0.6939825120431556,0.95
10249,SELL,2370.58,2381.6613976537683,SL,-789.7012184918597,0.7126368380285606,0.95
10318,BUY,2401.37,2384.550578596085,SL,-786.5424136178921,0.46763940014893407,0.95
10321,BUY,2403.72,2386.371782498396,SL,-783.3962439634188,0.45157160606903574,0.95
10383,SELL,2324.52,2338.5200143896586,SL,-780.2626589875765,0.5573298978634844,0.95
10385,SELL,2326.02,2339.1783797543485,SL,-777.1416083516266,0.5906058518297442,0.95
10386,SELL,2329.73,2342.901352629038,SL,-774.0330419182102,0.5876640491818325,0.95
10437,SELL,2298.26,2316.5520748520003,SL,-770.9369097505465,0.42145952057825353,0.95
10438,SELL,2298.77,2316.7197837911426,SL,-767.853162111533,0.4277785019842033,0.95
10439,SELL,2298.18,2315.2590849489184,SL,-764.7817494631032,0.4477884803257741,0.95
10544,BUY,2307.24,2325.93,TIMEOUT,1012.6652426744043,0.541821959697379,0.95
10545,BUY,2305.77,2332.8158618213124,TP,2042.0620891624992,0.7550367973681402,0.939
10634,BUY,2326.74,2350.599465140145,TP,1934.8538294814794,0.8109376375859899,0.95
10647,SELL,2326.23,2331.98266576984,SL,-575.266576983995,1.0,0.95
10720,BUY,2353.22,2339.4133554034806,SL,-779.3798808025679,0.5644962288658171,0.95
10721,BUY,2352.07,2337.7381157318036,SL,-776.2623612793676,0.5416331493842367,0.949
10743,BUY,2357.4,2340.59113379109,SL,-773.1573118342582,0.4599699362378354,0.95
10761,SELL,2337.92,2299.852573667963,TP,1925.1617064672969,0.5057241563102749,0.95
10951,BUY,2296.3,2321.982342878308,TP,1944.4133235319741,0.7571012242712085,0.95
11000,SELL,2260.7,2276.4529792339595,SL,-785.5429827069227,0.49866312336239244,0.95
11011,BUY,2261.02,2248.9552214385994,SL,-782.4008107760891,0.6484999345775508,0.95
11059,BUY,2264.88,2256.432767057842,SL,-779.2712075329646,0.922516536324923,0.95
11060,BUY,2262.85,2254.5818551251386,SL,-776.1541227028337,0.9387282570031856,0.95
11101,BUY,2296.13,2281.280001000652,SL,-773.049506212038,0.5205720931334632,0.95
11102,BUY,2298.4,2283.9935723577482,SL,-769.9573081872002,0.5344540140742683,0.95
11111,SELL,2295.67,2265.142294302592,TP,2045.0066105451704,0.6698854577593719,0.95
11117,SELL,2294.64,2267.0126477953486,TP,2066.8200143909903,0.7481064414283698,0.95
11163,BUY,2261.02,2247.6754230098304,SL,-783.324785454188,0.5869985882888853,0.947
11185,SELL,2226.98,2184.1755866659473,TP,1950.4787157809292,0.4556723393354493,0.95
11188,SELL,2225.89,2183.9117762044775,TP,1969.9835029387261,0.4692870076005589,0.95
11189,SELL,2226.01,2185.090935047015,TP,1989.6833379681182,0.48624848594517284,0.95
11190,SELL,2226.46,2187.060153972228,TP,2009.5801713478074,0.5100477219965013,0.95
11191,SELL,2228.11,2190.367285831355,TP,2029.6759730612766,0.5377662994749398,0.95
11302,BUY,2180.28,2175.5897949083433,SL,-469.0205091656935,1.0,0.95
11303,BUY,2179.07,2174.51445241489,SL,-455.5547585110162,1.0,0.934
11334,BUY,2181.1,2174.719444612673,SL,-638.0555387326694,1.0,0.95
11336,BUY,2182.71,2176.763602752764,SL,-594.6397247235836,1.0,0.95
11337,BUY,2183.54,2177.562988270424,SL,-597.7011729576134,1.0,0.95
11473,SELL,2106.23,2126.7462954476173,SL,-808.9692063003954,0.39430569147625916,0.95
