bar,action,entry,exit,result,profit_usd,lot,score
10007,SELL,0.5754,0.5733444753918944,TP,205.5524608105652,1.0,0.95
10008,SELL,0.57534,0.5734027271496162,TP,193.72728503838087,1.0,0.95
10011,SELL,0.57521,0.5758591857396538,SL,-64.91857396537793,1.0,0.95
10013,SELL,0.57532,0.5732989470748098,TP,202.1052925190281,1.0,0.95
10014,SELL,0.57533,0.573399022283752,TP,193.09777162480611,1.0,0.95
10015,SELL,0.57542,0.5735469492634839,TP,187.3050736516113,1.0,0.95
10085,BUY,0.57223,0.5707897389541123,SL,-144.02610458876808,1.0,0.95
10086,BUY,0.57228,0.5708726147431044,SL,-140.73852568956545,1.0,0.95
10088,BUY,0.57227,0.5708982239366562,SL,-137.17760633437103,1.0,0.95
10099,SELL,0.57172,0.5697433303260534,TP,197.6669673946607,1.0,0.95
10102,SELL,0.57168,0.5698216970577038,TP,185.83029422961636,1.0,0.95
10103,SELL,0.5717,0.5699115758392964,TP,178.84241607035722,1.0,0.95
10104,SELL,0.57169,0.5700064632793467,TP,168.3536720653356,1.0,0.948
10131,SELL,0.57103,0.569806147949776,TP,122.38520502240169,1.0,0.95
10133,SELL,0.57094,0.5697798928750619,TP,116.01071249380811,1.0,0.95
10139,SELL,0.57089,0.5698110909195979,TP,107.89090804020907,1.0,0.95
10140,SELL,0.57095,0.5698981558539123,TP,105.18441460876105,1.0,0.95
10141,SELL,0.57092,0.5698932875786329,TP,102.67124213670931,1.0,0.95
10142,SELL,0.57092,0.5698951956087305,TP,102.4804391269507,1.0,0.95
10166,SELL,0.57066,0.5697332423324284,TP,92.67576675715539,1.0,0.95
10238,BUY,0.57022,0.5719693649651115,TP,174.9364965111577,1.0,0.95
10256,BUY,0.57192,0.5710226780825692,SL,-89.73219174307489,1.0,0.95
10257,BUY,0.57161,0.5707039153623857,SL,-90.60846376142129,1.0,0.95
10258,BUY,0.57164,0.5707557785507869,SL,-88.4221449213185,1.0,0.95
10259,BUY,0.57187,0.5709917943685877,SL,-87.82056314122767,1.0,0.95
10289,SELL,0.57137,0.5694449835462733,TP,192.501645372678,1.0,0.946
10290,SELL,0.57125,0.5694024847215395,TP,184.75152784604987,1.0,0.95
10291,SELL,0.57133,0.569565878670001,TP,176.41213299990355,1.0,0.95
10323,SELL,0.57013,0.5708879295455199,SL,-75.79295455198975,1.0,0.95
10326,SELL,0.56997,0.5707015711412198,SL,-73.15711412198,1.0,0.95
10327,SELL,0.57005,0.5707764589168469,SL,-72.64589168469726,1.0,0.95
10328,SELL,0.57023,0.5709631404227865,SL,-73.31404227864935,1.0,0.95
10329,SELL,0.57012,0.570648794223012,SL,-52.87942230119968,1.0,0.95
10330,SELL,0.56995,0.5704774517785111,SL,-52.7451778511101,1.0,0.95
10365,SELL,0.57005,0.5709397002348183,SL,-88.97002348183803,1.0,0.95
10434,BUY,0.58296,0.58392,TIMEOUT,95.99999999999609,1.0,0.95
10436,BUY,0.58276,0.58473,TIMEOUT,197.00000000000273,1.0,0.95
10447,SELL,0.58228,0.5833520162882887,SL,-107.20162882886797,1.0,0.95
10448,SELL,0.58212,0.5831540151248394,SL,-103.40151248394713,1.0,0.95
10464,BUY,0.5838,0.582580791724235,SL,-121.9208275764938,1.0,0.95
10477,SELL,0.58318,0.5841122827177725,SL,-93.22827177724591,1.0,0.95
10487,SELL,0.58225,0.5831063278210935,SL,-85.63278210934611,1.0,0.95
10488,SELL,0.58218,0.5829987329767297,SL,-81.87329767296303,1.0,0.95
10493,SELL,0.58223,0.5830698583795608,SL,-83.98583795607983,1.0,0.95
10499,BUY,0.58252,0.5818449817850411,SL,-67.50182149589668,1.0,0.95
10500,BUY,0.58242,0.5817514116575382,SL,-66.85883424618622,1.0,0.95
10520,BUY,0.58329,0.5826795271518554,SL,-61.047284814452766,1.0,0.95
10523,BUY,0.5833,0.5827101625920651,SL,-58.983740793494555,1.0,0.95
10573,BUY,0.58598,0.5848352628827956,SL,-114.47371172043086,1.0,0.95
10579,BUY,0.58611,0.585367938648548,SL,-74.20613514520502,1.0,0.95
10580,BUY,0.58602,0.5852998716022231,SL,-72.01283977769091,1.0,0.95
10581,BUY,0.58593,0.5852366664877785,SL,-69.33335122214501,1.0,0.95
10582,BUY,0.58607,0.5853994045957943,SL,-67.05954042056649,1.0,0.95
10584,SELL,0.58584,0.5841642092066565,TP,167.57907933435678,1.0,0.95
10586,SELL,0.58594,0.5839564865098212,TP,198.35134901787785,1.0,0.95
10589,SELL,0.58569,0.5836223399643139,TP,206.76600356861474,1.0,0.95
10590,SELL,0.58556,0.5835571728240057,TP,200.2827175994315,1.0,0.95
10592,SELL,0.58551,0.5835361337104946,TP,197.38662895053548,1.0,0.95
10614,SELL,0.58473,0.58331489206561,TP,141.51079343899252,1.0,0.939
10634,SELL,0.58383,0.584482268869144,SL,-65.22688691440459,1.0,0.945
10670,SELL,0.58442,0.582415946071635,TP,200.40539283650017,1.0,0.95
10671,SELL,0.58454,0.5825733784950896,TP,196.66215049103374,1.0,0.95
10672,SELL,0.58444,0.5825367086025832,TP,190.32913974167397,1.0,0.947
10673,SELL,0.58431,0.582462657988113,TP,184.73420118869655,1.0,0.95
10674,SELL,0.58423,0.5824603252746764,TP,176.96747253236333,1.0,0.95
10675,SELL,0.58437,0.5826467306121995,TP,172.326938780043,1.0,0.95
10676,SELL,0.58424,0.5825598212827566,TP,168.01787172433524,1.0,0.95
10677,SELL,0.58429,0.5826755483339883,TP,161.44516660117068,1.0,0.95
10694,SELL,0.58117,0.5824745753310137,SL,-130.4575331013691,1.0,0.95
10695,SELL,0.58133,0.5826042485216556,SL,-127.42485216555855,1.0,0.95
10699,SELL,0.58153,0.5824183578201857,SL,-88.83578201857034,1.0,0.95
10700,SELL,0.58178,0.5826434751187438,SL,-86.34751187438505,1.0,0.95
10705,BUY,0.58201,0.5840281649375447,TP,201.81649375446972,1.0,0.95
10713,BUY,0.58239,0.5840095766095722,TP,161.95766095722374,1.0,0.95
10715,BUY,0.58248,0.584033410443968,TP,155.34104439679507,1.0,0.95
10719,BUY,0.5826,0.5840872531156333,TP,148.72531156332468,1.0,0.95
10744,SELL,0.58262,0.583298257332677,SL,-67.82573326770125,1.0,0.95
10777,BUY,0.58611,0.5881250985547297,TP,201.50985547296995,1.0,0.95
10850,BUY,0.59098,0.5898976055640787,SL,-108.23944359212857,1.0,0.95
10851,BUY,0.59096,0.5899020623095017,SL,-105.7937690498334,1.0,0.95
10865,SELL,0.59028,0.5908494584095083,SL,-56.94584095082833,1.0,0.95
10866,SELL,0.59039,0.5909348542374004,SL,-54.48542374004717,1.0,0.95
10868,SELL,0.5902,0.5907187008475544,SL,-51.87008475544541,1.0,0.95
10869,SELL,0.59018,0.5906755793584435,SL,-49.55793584434653,1.0,0.95
10870,SELL,0.59024,0.5907087522614117,SL,-46.87522614117423,1.0,0.95
10871,SELL,0.59016,0.590607055671311,SL,-44.70556713109808,1.0,0.95
10879,SELL,0.59016,0.59073008645887,SL,-57.008645887002274,1.0,0.95
10880,SELL,0.5902,0.5906098816409987,SL,-40.98816409987549,1.0,0.95
10916,BUY,0.59042,0.5898831530673591,SL,-53.684693264088864,1.0,0.935
10917,BUY,0.59051,0.5899729278482619,SL,-53.70721517380383,1.0,0.949
10955,BUY,0.59078,0.590076234527618,SL,-70.37654723819342,1.0,0.95
10956,BUY,0.59079,0.5901118606327882,SL,-67.81393672118385,1.0,0.95
11027,SELL,0.58935,0.5901630382571741,SL,-81.3038257174048,1.0,0.95
11028,SELL,0.58958,0.5903878212388045,SL,-80.7821238804518,1.0,0.95
11110,BUY,0.58862,0.5881761963342523,SL,-44.38036657476996,1.0,0.944
11139,BUY,0.59042,0.5889103977682797,SL,-150.96022317202528,1.0,0.95
11140,BUY,0.59081,0.5893139407848311,SL,-149.60592151688212,1.0,0.95
11141,BUY,0.59069,0.589227945014486,SL,-146.20549855139942,1.0,0.95
11142,BUY,0.59082,0.5894023775134514,SL,-141.7622486548642,1.0,0.95
11143,BUY,0.59093,0.589582207691062,SL,-134.77923089380005,1.0,0.95
11144,BUY,0.59068,0.5893656214274147,SL,-131.43785725853175,1.0,0.95
11148,SELL,0.59026,0.5877113241143477,TP,254.86758856523295,1.0,0.95
11173,SELL,0.58694,0.5881097274457718,SL,-116.97274457718177,1.0,0.95
11178,SELL,0.58735,0.5881652963876515,SL,-81.52963876514319,1.0,0.95
11185,BUY,0.5878,0.5871000728180843,SL,-69.99271819156938,1.0,0.95
11188,BUY,0.58786,0.5872060076462577,SL,-65.39923537423053,1.0,0.95
11189,BUY,0.58784,0.5872037928143822,SL,-63.62071856178542,1.0,0.95
11190,BUY,0.58781,0.5872063790419264,SL,-60.36209580736474,1.0,0.95
11191,BUY,0.58785,0.5872680662532173,SL,-58.19337467827257,1.0,0.95
11192,BUY,0.58784,0.5872707043779876,SL,-56.929562201246675,1.0,0.95
11193,BUY,0.5877,0.5871424397795598,SL,-55.75602204401786,1.0,0.941
11207,SELL,0.58691,0.5876462264511368,SL,-73.62264511368011,1.0,0.95
11215,BUY,0.58781,0.5871218325967177,SL,-68.81674032823693,1.0,0.95
11217,BUY,0.58777,0.5870980342288025,SL,-67.19657711975469,1.0,0.95
11218,BUY,0.5878,0.5895324866715369,TP,173.24866715369149,1.0,0.95
11224,BUY,0.58787,0.5872254588201773,SL,-64.45411798227107,1.0,0.95
11242,BUY,0.58886,0.5881109617176126,SL,-74.90382823874819,1.0,0.95
11243,BUY,0.58891,0.588182321594926,SL,-72.76784050740392,1.0,0.95
11244,BUY,0.58887,0.5881771557667169,SL,-69.28442332830853,1.0,0.95
11283,BUY,0.59047,0.5894857788774657,SL,-98.42211225343789,1.0,0.95
11284,SELL,0.59047,0.5911725825674794,SL,-70.25825674793484,1.0,0.934
11297,SELL,0.59088,0.5915479574300605,SL,-66.79574300605395,1.0,0.95
11310,SELL,0.5904,0.5911097272783271,SL,-70.97272783270769,1.0,0.935
11344,SELL,0.58936,0.5905375639605809,SL,-117.75639605808851,1.0,0.95
11345,SELL,0.58962,0.5907948808205394,SL,-117.48808205394035,1.0,0.95
