bar,action,entry,exit,result,profit_usd,lot,score
10012,BUY,1.37304,1.3750548302594447,TP,201.48302594447108,1.0,0.942
10035,BUY,1.3755600000000001,1.3748830183469063,SL,-67.69816530938222,1.0,0.95
10036,BUY,1.3756300000000001,1.3749649456078417,SL,-66.50543921584706,1.0,0.95
10037,BUY,1.37545,1.3747585209215671,SL,-69.14790784329216,1.0,0.95
10038,BUY,1.37571,1.3750100551414552,SL,-69.99448585447432,1.0,0.95
10059,SELL,1.37385,1.3749321704116297,SL,-108.21704116297238,1.0,0.95
10086,BUY,1.37701,1.3758685485252766,SL,-114.14514747234428,1.0,0.95
10088,BUY,1.37701,1.3759174831672027,SL,-109.25168327973189,1.0,0.95
10089,BUY,1.37647,1.3753989486552598,SL,-107.10513447402815,1.0,0.95
10090,BUY,1.37667,1.375649738037027,SL,-102.02619629731124,1.0,0.95
10091,BUY,1.37636,1.3753671853200964,SL,-99.28146799036419,1.0,0.95
10101,SELL,1.37636,1.3773269343701873,SL,-96.69343701872447,1.0,0.95
10102,SELL,1.37635,1.3772890104866025,SL,-93.90104866024984,1.0,0.949
10103,SELL,1.37639,1.377285938308988,SL,-89.59383089879313,1.0,0.95
10104,SELL,1.3761700000000001,1.3770233712869175,SL,-85.33712869174259,1.0,0.95
10105,SELL,1.37626,1.3770918447664233,SL,-83.18447664232842,1.0,0.95
10126,BUY,1.37701,1.3785723331821054,TP,156.23331821053023,1.0,0.95
10127,BUY,1.37723,1.3787407379548122,TP,151.0737954812269,1.0,0.95
10128,BUY,1.3773,1.3787435423866112,TP,144.3542386611263,1.0,0.95
10129,BUY,1.37733,1.378730432216139,TP,140.0432216138947,1.0,0.95
10130,BUY,1.3775,1.3788582584864146,TP,135.82584864146872,1.0,0.95
10131,BUY,1.37737,1.3786890971659567,TP,131.9097165956684,1.0,0.95
10133,BUY,1.37769,1.3771699032223539,SL,-52.00967776461951,1.0,0.95
10138,BUY,1.3780299999999999,1.3793688464853864,TP,133.88464853865133,1.0,0.95
10141,BUY,1.37833,1.3777790399812837,SL,-55.0960018716351,1.0,0.95
10152,BUY,1.37936,1.3786854246523335,SL,-67.45753476664618,1.0,0.95
10153,BUY,1.3790200000000001,1.3784631725988765,SL,-55.68274011236163,1.0,0.95
10154,BUY,1.37931,1.3787552316989566,SL,-55.47683010433957,1.0,0.95
10156,BUY,1.37955,1.3789997150873656,SL,-55.02849126344245,1.0,0.95
10157,BUY,1.37906,1.3784890211525538,SL,-57.097884744616856,1.0,0.95
10158,BUY,1.37961,1.3789932339273714,SL,-61.676607262861616,1.0,0.95
10181,BUY,1.38073,1.3828831424849097,TP,215.31424849097203,1.0,0.95
10192,BUY,1.38119,1.380461206234449,SL,-72.87937655509057,1.0,0.95
10212,BUY,1.3823400000000001,1.3818330495599223,SL,-50.695044007786905,1.0,0.95
10219,BUY,1.38186,1.3830923849025878,TP,123.23849025877021,1.0,0.95
10240,BUY,1.38316,1.3826102062923697,SL,-54.97937076301973,1.0,0.95
10241,BUY,1.38316,1.3826160487000576,SL,-54.39512999423357,1.0,0.95
10242,BUY,1.38316,1.3826249023643393,SL,-53.50976356606196,1.0,0.95
10243,BUY,1.38327,1.382722552195458,SL,-54.74478045419673,1.0,0.95
10253,BUY,1.38407,1.3834090713687086,SL,-66.09286312913021,1.0,0.95
10254,BUY,1.38408,1.3833788519852295,SL,-70.11480147705029,1.0,0.95
10278,BUY,1.38526,1.38444507120746,SL,-81.49287925398596,1.0,0.95
