bar,action,entry,exit,result,profit_usd,lot,score
10072,SELL,74.442,75.30944562345277,SL,-86.7445623452781,1.0,0.95
10073,SELL,74.493,75.36219950749187,SL,-86.91995074918708,1.0,0.95
10074,SELL,74.399,75.24025668552817,SL,-84.12566855281653,1.0,0.95
10075,SELL,74.307,75.12573835084758,SL,-81.87383508475818,1.0,0.95
10076,SELL,74.329,75.12782846864418,SL,-79.88284686441887,1.0,0.95
10077,SELL,74.312,75.08548357802674,SL,-77.34835780267417,1.0,0.95
10078,SELL,74.23,74.97009189388197,SL,-74.00918938819672,1.0,0.95
10079,SELL,74.264,74.98765675860469,SL,-72.36567586046903,1.0,0.95
10080,SELL,74.304,75.0286812758472,SL,-72.46812758472032,1.0,0.95
10088,BUY,74.447,73.98975707361288,SL,-45.72429263871243,1.0,0.95
10091,BUY,74.429,73.99820619195609,SL,-43.079380804391576,1.0,0.945
10161,BUY,75.576,76.69041974709731,TP,111.44197470973154,1.0,0.936
10183,BUY,76.634,77.87708193135131,TP,124.30819313513126,1.0,0.95
10184,BUY,76.674,77.89793322196908,TP,122.39332219690766,1.0,0.95
10203,BUY,77.534,78.85070437687209,TP,131.67043768720816,1.0,0.95
10204,BUY,77.488,78.7835112070955,TP,129.5511207095501,1.0,0.95
10206,BUY,77.552,78.82818058162827,TP,127.61805816282674,1.0,0.937
10235,BUY,79.08,80.67833279919508,TP,159.83327991950773,1.0,0.95
10318,BUY,79.509,78.92827046838111,SL,-58.07295316188856,1.0,0.95
10328,SELL,79.278,79.76673395848933,SL,-48.87339584893198,1.0,0.95
10329,SELL,79.218,79.69346724716866,SL,-47.546724716865185,1.0,0.95
10331,SELL,79.352,79.81361971822196,SL,-46.16197182219537,1.0,0.95
10332,SELL,79.338,79.78828973834895,SL,-45.02897383489568,1.0,0.95
10388,SELL,79.756,78.59208579042254,TP,116.3914209577456,1.0,0.95
10389,SELL,79.699,78.5417939482495,TP,115.72060517504923,1.0,0.95
10392,SELL,79.644,78.46399938203504,TP,118.00006179649642,1.0,0.95
10419,SELL,78.545,79.17922583410788,SL,-63.422583410788036,1.0,0.95
10466,BUY,78.806,79.75192091562779,TP,94.5920915627795,1.0,0.95
10482,BUY,79.234,80.076500865816,TP,84.25008658160067,1.0,0.95
10505,BUY,81.936,81.08971823585554,SL,-84.62817641444644,1.0,0.95
10515,SELL,81.436,79.5301108072814,TP,190.5889192718604,1.0,0.95
10532,SELL,79.82,80.62511669806035,SL,-80.51166980603597,1.0,0.95
10533,SELL,79.954,78.957,TIMEOUT,99.69999999999999,1.0,0.95
10534,SELL,80.059,78.56,TIMEOUT,149.89999999999952,1.0,0.95
10698,SELL,77.048,77.80772587188518,SL,-75.97258718851805,1.0,0.95
10756,SELL,78.004,78.31600560845202,SL,-31.200560845201153,1.0,0.95
10758,SELL,78.078,77.28227281866135,TP,79.57271813386484,1.0,0.95
10760,SELL,77.988,78.29443984753743,SL,-30.643984753743325,1.0,0.95
10867,BUY,76.02,75.42061777268442,SL,-59.93822273155729,1.0,0.95
10868,BUY,76.018,75.43185936034982,SL,-58.614063965018204,1.0,0.95
10869,BUY,76.067,75.49647654889625,SL,-57.05234511037389,1.0,0.95
10918,SELL,74.941,75.55641280373487,SL,-61.541280373486984,1.0,0.95
10921,SELL,74.917,75.51263845838393,SL,-59.56384583839309,1.0,0.95
10957,BUY,75.713,75.17850894273298,SL,-53.44910572670187,1.0,0.95
10958,BUY,75.68,75.15325830396635,SL,-52.67416960336533,1.0,0.95
11010,BUY,76.066,75.53917594448814,SL,-52.68240555118666,1.0,0.95
11017,BUY,75.88,75.48833841147646,SL,-39.166158852353306,1.0,0.95
11018,BUY,75.845,75.45699281065673,SL,-38.800718934326994,1.0,0.95
11027,SELL,75.68,74.77628142193454,TP,90.37185780654653,1.0,0.95
11072,BUY,75.45,75.16931417436574,SL,-28.068582563426503,1.0,0.95
11115,SELL,73.526,71.72684013728532,TP,179.91598627146743,1.0,0.95
11116,SELL,73.531,71.78928012747923,TP,174.17198725207754,1.0,0.95
11122,SELL,73.297,71.64884802208766,TP,164.81519779123346,1.0,0.95
11157,BUY,73.145,72.70692027733803,SL,-43.80797226619677,1.0,0.95
11197,BUY,73.594,73.27314459313735,SL,-32.085540686264835,1.0,0.95
11198,BUY,73.578,73.26677712219897,SL,-31.12228778010291,1.0,0.95
11214,SELL,72.897,71.79242273643075,TP,110.45772635692543,1.0,0.95
11216,SELL,72.907,71.84797674722854,TP,105.90232527714534,1.0,0.95
11275,BUY,72.15,71.55754679431828,SL,-59.24532056817213,1.0,0.95
11276,BUY,72.252,71.67986488043839,SL,-57.2135119561608,1.0,0.95
11277,BUY,72.236,71.66587453183566,SL,-57.012546816434906,1.0,0.95
11278,BUY,72.232,71.67945492241883,SL,-55.2545077581172,1.0,0.95
11330,SELL,73.102,73.69165109655466,SL,-58.96510965546611,1.0,0.944
11362,BUY,74.06,73.66509655705184,SL,-39.49034429481628,1.0,0.945
11367,BUY,74.193,73.77423158869341,SL,-41.876841130658704,1.0,0.95
11399,SELL,73.293,73.673300584809,SL,-38.03005848089924,1.0,0.95
11400,SELL,73.27,73.6365648287512,SL,-36.656482875120844,1.0,0.95
11429,BUY,75.653,74.92672650756374,SL,-72.62734924362633,1.0,0.95
11526,SELL,72.903,73.6500617489996,SL,-74.70617489995988,1.0,0.95
11527,SELL,72.928,73.64684305264248,SL,-71.88430526424838,1.0,0.95
11528,SELL,72.829,73.52235426316801,SL,-69.33542631680183,1.0,0.95
11614,SELL,73.236,73.61947664383922,SL,-38.34766438392165,1.0,0.949
11680,BUY,76.819,76.16771952499349,SL,-65.12804750065158,1.0,0.95
11720,BUY,77.384,77.04725608577453,SL,-33.674391422546535,1.0,0.95
11721,BUY,77.37,77.04863065107635,SL,-32.13693489236533,1.0,0.95
11722,BUY,77.4,77.09044274742804,SL,-30.95572525719632,1.0,0.95
11748,BUY,77.711,78.77722186943909,TP,106.62218694390901,1.0,0.95
11805,SELL,79.614,80.55271564009391,SL,-93.87156400939034,1.0,0.95
11806,SELL,79.757,80.66766452294435,SL,-91.06645229443444,1.0,0.95
11833,BUY,79.71,81.13874656142724,TP,142.87465614272463,1.0,0.95
11887,SELL,80.37,80.94137366184984,SL,-57.13736618498331,1.0,0.95
11888,SELL,80.339,80.88456125743198,SL,-54.556125743198436,1.0,0.948
11923,BUY,80.717,80.097643473583,SL,-61.935652641699335,1.0,0.95
11939,SELL,80.333,80.82393117606516,SL,-49.093117606516046,1.0,0.95
12041,SELL,84.329,85.22029130617737,SL,-89.12913061773793,1.0,0.95
12163,BUY,87.918,86.92055419460428,SL,-99.74458053957278,1.0,0.95
12165,BUY,88.237,87.27180438208225,SL,-96.51956179177432,1.0,0.95
12166,BUY,88.178,87.46745305180728,SL,-71.05469481927145,1.0,0.95
12178,SELL,87.815,88.33661362350234,SL,-52.1613623502347,1.0,0.95
12180,SELL,87.862,88.34896021618314,SL,-48.696021618314944,1.0,0.95
12181,SELL,87.912,88.38560591502721,SL,-47.360591502720695,1.0,0.95
12255,SELL,84.887,82.63194578068162,TP,225.50542193183816,1.0,0.95
12274,SELL,83.777,82.1946147571935,TP,158.23852428064953,1.0,0.95
12318,SELL,78.433,75.18597500244056,TP,324.702499755945,1.0,0.949
12384,SELL,75.211,76.14318752054753,SL,-93.21875205475294,1.0,0.95
12387,SELL,75.358,76.2506000301177,SL,-89.26000301176913,1.0,0.944
12388,SELL,75.334,76.198628599395,SL,-86.46285993949903,1.0,0.95
12391,BUY,75.285,77.46994998335354,TP,218.49499833535475,1.0,0.95
12394,BUY,75.206,77.33039909381478,TP,212.43990938147732,1.0,0.95
12412,BUY,75.708,77.3280529540796,TP,162.0052954079597,1.0,0.943
12432,BUY,76.834,76.02955567335673,SL,-80.44443266432779,1.0,0.95
12485,SELL,76.436,74.4055327001947,TP,203.04672998053093,1.0,0.939
12487,SELL,76.44,74.49061748129031,TP,194.93825187096832,1.0,0.95
12526,SELL,74.551,75.558962211049,SL,-100.7962211049005,1.0,0.95
12527,SELL,74.577,75.54153633883121,SL,-96.45363388312092,1.0,0.95
12528,SELL,74.631,75.31848066454317,SL,-68.74806645431732,1.0,0.95
12530,SELL,74.664,75.3060471036112,SL,-64.20471036112048,1.0,0.95
12549,SELL,74.135,74.68577732691067,SL,-55.07773269106622,1.0,0.945
12550,SELL,74.107,74.50064849552706,SL,-39.364849552706005,1.0,0.95
12836,BUY,77.796,76.97950754017195,SL,-81.6492459828055,1.0,0.95
12837,BUY,77.804,76.99697128730253,SL,-80.70287126974733,1.0,0.95
12839,BUY,77.866,77.0996946303782,SL,-76.63053696218043,1.0,0.95
12840,BUY,77.551,76.77285929963689,SL,-77.81407003631102,1.0,0.95
12851,SELL,77.628,78.09025137933338,SL,-46.22513793333809,1.0,0.95
12893,SELL,77.765,78.07678290290949,SL,-31.178290290948496,1.0,0.95
12894,SELL,77.736,78.0375126955588,SL,-30.15126955587988,1.0,0.95
13006,BUY,77.145,76.72946832437611,SL,-41.55316756238818,1.0,0.95
13021,SELL,76.74,75.7922831699413,TP,94.77168300586953,1.0,0.95
13022,SELL,76.811,75.86097722923122,TP,95.00227707687827,1.0,0.95
13024,SELL,76.775,75.83525587622488,TP,93.9744123775128,1.0,0.95
13037,SELL,75.477,73.77146712516988,TP,170.55328748301264,1.0,0.95
13042,SELL,75.415,73.92363857378194,TP,149.1361426218063,1.0,0.95
13043,SELL,75.448,73.99280724708322,TP,145.51927529167727,1.0,0.95
13070,BUY,74.682,74.12644406364849,SL,-55.55559363515101,1.0,0.95
13117,SELL,72.92,73.6627072371121,SL,-74.27072371121,1.0,0.95
13119,SELL,72.693,73.45710981159155,SL,-76.41098115915526,1.0,0.95
13130,BUY,73.205,72.75195016984208,SL,-45.30498301579229,1.0,0.95
13133,BUY,73.285,72.84288812796757,SL,-44.21118720324273,1.0,0.95
13211,SELL,75.634,74.57868457679,TP,105.53154232100042,1.0,0.95
13264,BUY,75.609,75.13850375260955,SL,-47.049624739044305,1.0,0.95
13265,BUY,75.556,75.10678919885173,SL,-44.92108011482685,1.0,0.942
13267,SELL,75.656,74.52452890620332,TP,113.14710937966908,1.0,0.95
13343,SELL,74.706,75.50234341325326,SL,-79.63434132532541,1.0,0.935
