bar,action,entry,exit,result,profit_usd,lot,score
10052,SELL,4765.16,4730.2135789352815,TP,1866.6666666666613,0.5341510259976902,0.95
10055,SELL,4763.62,4731.974071764145,TP,1884.0888888888635,0.5953653420581936,0.95
10072,SELL,4695.46,4720.5291044722535,SL,-815.0030222222117,0.3251025672354028,0.95
10081,BUY,4713.62,4777.30460738351,TP,2254.841694814814,0.3540638448528225,0.95
10117,SELL,4717.13,4731.2909589461115,SL,-820.7623769125901,0.5795951955202683,0.95
10119,SELL,4715.66,4730.05768909129,SL,-817.47932740495,0.5677850953869341,0.95
10200,BUY,4778.11,4764.952844548545,SL,-814.2094100953357,0.6188339212829657,0.946
10312,BUY,4815.36,4802.26081520458,SL,-810.9525724549561,0.6190862905747314,0.95
10330,SELL,4802.91,4814.983949658618,SL,-807.7087621651173,0.6689681380181783,0.944
10351,BUY,4815.7,4800.9340746022,SL,-804.4779271164812,0.5448205279679555,0.95
10352,BUY,4817.76,4803.182212130615,SL,-801.260015407986,0.5496444471459959,0.95
10354,BUY,4818.91,4807.208681335348,SL,-798.0549753463561,0.6820214013632313,0.95
10355,BUY,4817.07,4805.246632668537,SL,-794.8627554449866,0.672281198038918,0.95
10432,BUY,4794.87,4785.296794172023,SL,-791.6833044231764,0.826978254358133,0.948
10459,BUY,4796.21,4785.952070274419,SL,-788.5165712054737,0.7686897768846234,0.95
10460,BUY,4794.04,4783.8065652548175,SL,-785.3625049206864,0.767447611165362,0.95
10476,SELL,4790.19,4800.867855779953,SL,-782.2210549010181,0.7325637946614291,0.95
10533,SELL,4793.54,4818.262801409137,SL,-779.0921706814012,0.3151310232963592,0.95
10537,SELL,4800.86,4824.0436094087445,SL,-775.9758019986583,0.3347087972013373,0.95
10538,SELL,4799.97,4822.202208736692,SL,-772.8718987906744,0.3476361291602705,0.95
10553,SELL,4790.58,4804.658039188841,SL,-769.7804111954955,0.5467951899193878,0.95
10600,SELL,4806.63,4819.949429063522,SL,-766.7012895507445,0.5756262418563539,0.95
10607,BUY,4811.38,4800.062303048785,SL,-763.6344843925332,0.6747260398331716,0.95
10609,BUY,4812.97,4802.443541914514,SL,-760.5799464549555,0.7225411817329345,0.95
10702,SELL,4705.32,4735.244140738057,SL,-757.5376266691298,0.2531526747251628,0.95
10758,SELL,4757.2,4735.51961035401,TP,1760.5174443790515,0.8120321973570739,0.95
10785,SELL,4735.93,4746.895156197065,SL,-761.5495459399946,0.6945177362305496,0.95
10796,BUY,4738.33,4728.8094565424835,SL,-758.5033477562214,0.7967017336152054,0.95
10829,SELL,4711.73,4728.3544965666315,SL,-755.4693343651807,0.454431405689319,0.95
10861,BUY,4724.13,4704.9270500542525,SL,-752.4474570277401,0.3918395138005168,0.95
10867,BUY,4727.89,4709.700286915863,SL,-749.437667199614,0.4120118133436551,0.95
10868,BUY,4720.34,4701.8848378504445,SL,-746.4399165308076,0.40446131574562094,0.946
10889,SELL,4696.79,4716.330330783205,SL,-743.454156864711,0.380471633317344,0.95
10896,SELL,4695.15,4711.417835056783,SL,-740.48034023724,0.45518062953834104,0.95
10918,SELL,4676.28,4692.515740002056,SL,-737.5184188762992,0.4542561156946858,0.95
10919,SELL,4682.41,4698.874615716195,SL,-734.5683452007851,0.44614970544270927,0.95
10966,BUY,4722.82,4705.168974579326,SL,-731.630071819984,0.4144972059034292,0.95
10967,BUY,4722.54,4705.325619252231,SL,-728.7035515326982,0.42331092951290245,0.945
10968,BUY,4723.29,4706.392360734215,SL,-725.7887373265592,0.4295207903959468,0.95
10993,SELL,4692.51,4707.6529900172845,SL,-722.8855823772772,0.4773730825630673,0.95
11011,BUY,4711.5,4698.563497760275,SL,-719.9940400477736,0.5565600551877415,0.95
