bar,action,entry,exit,result,profit_usd,lot,score
10046,BUY,186.05,186.30241571648713,TP,2133.3333333333007,0.08451666017564115,0.941
10054,BUY,186.157,186.07366899961946,SL,-808.5333333332464,0.09702671630495968,0.95
10055,BUY,186.116,186.33720057237093,TP,2147.4645333333683,0.09708223221648861,0.95
10059,BUY,186.167,186.08963940596868,SL,-813.8890581333885,0.10520718827519489,0.95
10060,BUY,186.194,186.11509373411377,SL,-810.6335019007769,0.10273373005252882,0.95
10061,BUY,186.177,186.09997989596278,SL,-807.3909678933346,0.10482860001113377,0.95
10062,BUY,186.122,186.34243073380642,TP,2144.4304107242906,0.09728363979442209,0.95
10063,BUY,186.105,186.3285428242488,TP,2167.3043351054907,0.09695253436957023,0.95
10084,BUY,186.419,186.262804965163,SL,-821.4083430050038,0.05258863342629368,0.95
10085,BUY,186.337,186.73388133087155,TP,2045.3067740822516,0.051534466728144816,0.95
10086,BUY,186.411,186.223301219962,SL,-826.3039367292058,0.0440228719953266,0.95
10099,BUY,186.647,186.5102766547177,SL,-822.9987209822577,0.06019445466924606,0.796
10101,BUY,186.689,186.55389160534332,SL,-819.7067260983272,0.060670303142993244,0.95
10103,BUY,186.663,186.534373373995,SL,-816.4278991940519,0.06347269803705395,0.95
10105,BUY,186.69,186.56600561329162,SL,-813.1621875971584,0.06558056450649254,0.95
10106,BUY,186.725,186.6037552123422,SL,-809.9095388468286,0.06679953460208088,0.95
10114,BUY,186.819,186.7134538815064,SL,-806.669900691558,0.07642819197947487,0.95
10115,BUY,186.814,186.71331431854168,SL,-803.4432210887564,0.07979716772552051,0.95
10116,BUY,186.842,186.74336329578873,SL,-800.2294482043487,0.08112897268852326,0.95
10117,BUY,186.835,186.74008734608952,SL,-797.0285304115481,0.08397494934271456,0.95
10119,BUY,186.831,186.73661868106697,SL,-793.8404162898963,0.08410990917103929,0.95
10139,SELL,186.609,186.7677018024409,SL,-790.6650546246761,0.04982079865911463,0.95
10140,BUY,186.636,186.48327689773345,SL,-787.5023944061738,0.05156406481527196,0.95
10141,BUY,186.665,186.51857854789534,SL,-784.352384828518,0.05356813319047967,0.95
10142,BUY,186.684,186.5443943659028,SL,-781.214975289314,0.05595869968581855,0.95
10143,BUY,186.674,186.53965191119548,SL,-778.0901153881025,0.05791597947628349,0.95
10144,BUY,186.679,186.55135534611009,SL,-774.97775492652,0.06071368688851452,0.947
10145,BUY,186.68,186.55932996424508,SL,-771.8778439068344,0.06396599114915906,0.95
10146,BUY,186.678,186.56337782394183,SL,-768.7903325313166,0.06707169231730611,0.95
10149,BUY,186.696,186.58750075772605,SL,-765.7151712010249,0.07057331969818427,0.95
10150,BUY,186.68,186.57442927503132,SL,-762.6523105163642,0.07224088976774369,0.95
10151,BUY,186.651,186.54804146967194,SL,-759.6017012743106,0.0737774421268366,0.807
10188,BUY,186.822,187.15657940412777,TP,2017.5021185844523,0.06029965065674006,0.665
10191,BUY,186.856,187.20590340775098,TP,2039.022141182692,0.058273857756589546,0.95
10200,BUY,187.008,187.32742013279233,TP,2060.7717106885775,0.06451602448078836,0.95
10202,BUY,187.057,187.3687857267444,TP,2082.7532756026176,0.06680078967534074,0.95
10203,BUY,187.037,187.3376581748341,TP,2104.9693105424058,0.07001204313516243,0.95
10217,BUY,187.345,187.18082919732026,SL,-797.783368695512,0.048594716945608935,0.769
10218,BUY,187.358,187.1964128260831,SL,-794.5922352207521,0.04917421450971055,0.769
10219,BUY,187.286,187.12366905279146,SL,-791.4138662798404,0.04875311084479273,0.769
10224,BUY,187.419,187.2618363695523,SL,-788.2482108148071,0.05015461965146278,0.95
10225,BUY,187.342,187.18063377172714,SL,-785.0952179715039,0.04865300666530531,0.95
10231,SELL,187.272,187.39274280861298,SL,-781.9548370995797,0.06476202153007285,0.933
10232,SELL,187.245,187.36729689371208,SL,-778.8270177512813,0.06368330332125036,0.95
10235,SELL,187.231,187.353910996897,SL,-775.7117096802317,0.0631116604098623,0.95
10236,SELL,187.225,187.3451316399758,SL,-772.6088628414705,0.06431351998500454,0.95
10238,SELL,187.199,187.31346554671384,SL,-769.5184273901602,0.06722707832025587,0.95
10241,SELL,187.149,187.25816374130113,SL,-766.4403536806354,0.07021015811160118,0.95
10242,SELL,187.173,187.27908061692247,SL,-763.374592265851,0.071961741401238,0.95
10243,SELL,187.199,187.30178914428515,SL,-760.3210938966974,0.07396900705657654,0.95
10244,SELL,187.185,187.28451849112193,SL,-757.2798095212147,0.07609438215792676,0.95
10245,SELL,187.202,187.2982671703275,SL,-754.2506902831605,0.07834973103677463,0.95
10246,SELL,187.172,187.26728380101838,SL,-751.2336875219045,0.07884170021481128,0.95
10247,SELL,187.119,187.21337067237423,SL,-748.2287527719179,0.07928615256706341,0.95
10249,SELL,187.12,187.21252879403696,SL,-745.2358377607547,0.08054096516843655,0.95
10250,SELL,187.196,187.29113388017717,SL,-742.2548944097321,0.07802214027509373,0.95
10259,BUY,187.376,187.25683225402182,SL,-739.2858748320731,0.06203741362762585,0.95
10260,BUY,187.376,187.25720137873455,SL,-736.3287313327166,0.06198125226448487,0.95
10263,BUY,187.417,187.30012005432937,SL,-733.3834164074076,0.06274672803785189,0.95
10264,BUY,187.368,187.24179005044869,SL,-730.4498827418382,0.057875776461259,0.95
10267,BUY,187.405,187.2676387539489,SL,-727.5280832109303,0.052964580922642994,0.95
10268,BUY,187.412,187.27330741438112,SL,-724.617970878033,0.05224633801760862,0.95
10269,BUY,187.346,187.20574974192533,SL,-721.7194989944936,0.05145940612888086,0.95
10302,SELL,187.263,187.37363137177894,SL,-718.8326209985682,0.06497547751960815,0.95
10303,SELL,187.283,187.39097913093755,SL,-715.9572905144438,0.0663051539957679,0.95
10307,SELL,187.323,187.4193150889918,SL,-713.0934613525305,0.0740375644997159,0.945
10314,SELL,187.224,187.31099365725436,SL,-710.2410875071232,0.08164285879261184,0.95
10319,BUY,187.346,187.2643917936296,SL,-707.4001231571044,0.08668247405738465,0.761
10320,BUY,187.385,187.30397095122748,SL,-704.5705226644802,0.08695283152620942,0.769
10321,BUY,187.385,187.30504445471124,SL,-701.7522405737909,0.08776780122497513,0.769
10322,BUY,187.379,187.30036270794616,SL,-698.9452316113491,0.08888215926012857,0.95
10334,BUY,187.399,187.29436398049964,SL,-696.1494506850864,0.06653057465385344,0.665
