bar,action,entry,exit,result,profit_usd,lot,score
10000,BUY,1.16125,1.1596522866629615,SL,-159.7713337038398,1.0,0.769
10001,BUY,1.16138,1.1598781947584644,SL,-150.18052415356476,1.0,0.708
10009,SELL,1.16112,1.1588519770940766,TP,226.8022905923317,1.0,0.769
10020,SELL,1.15907,1.1602990137437696,SL,-122.90137437696025,1.0,0.95
10024,SELL,1.15885,1.1599754615664255,SL,-112.54615664255674,1.0,0.769
10045,BUY,1.15954,1.1581708562964381,SL,-136.91437035618924,1.0,0.941
10049,BUY,1.15944,1.1582471545539894,SL,-119.28454460106153,1.0,0.944
10059,SELL,1.1589,1.1600376517954247,SL,-113.76517954246879,1.0,0.95
10060,SELL,1.15927,1.160413819524323,SL,-114.38195243229643,1.0,0.807
10113,BUY,1.16186,1.1605175503582963,SL,-134.24496417036025,1.0,0.95
10122,SELL,1.16035,1.1611807595952706,SL,-83.07595952705694,1.0,0.769
10124,SELL,1.16026,1.1610593998551058,SL,-79.93998551056869,1.0,0.769
10133,SELL,1.15943,1.160303123359155,SL,-87.31233591550148,1.0,0.95
10134,SELL,1.15963,1.1603437487810866,SL,-71.37487810866538,1.0,0.95
10150,BUY,1.16044,1.1594539096202867,SL,-98.60903797132003,1.0,0.95
10194,SELL,1.1559599999999999,1.1567793877236656,SL,-81.93877236657431,1.0,0.712
10197,SELL,1.15619,1.1569435640775854,SL,-75.35640775853113,1.0,0.769
10198,SELL,1.156,1.1567275952149005,SL,-72.75952149006227,1.0,0.769
10199,SELL,1.1561,1.1567981241281218,SL,-69.81241281218686,1.0,0.769
10216,BUY,1.15674,1.1561681729048412,SL,-57.18270951589055,1.0,0.95
10218,BUY,1.15687,1.1563397817393783,SL,-53.02182606217176,1.0,0.95
10219,BUY,1.1569,1.1563879401865655,SL,-51.20598134344956,1.0,0.95
10221,BUY,1.15708,1.1565978259771919,SL,-48.217402280825716,1.0,0.769
10222,BUY,1.15693,1.1564539812645351,SL,-47.601873546487816,1.0,0.95
10223,BUY,1.15688,1.1564216968884968,SL,-45.83031115030778,1.0,0.95
10237,SELL,1.15564,1.1563946384564934,SL,-75.46384564933729,1.0,0.95
10238,SELL,1.15598,1.154127446440283,TP,185.25535597169184,1.0,0.95
10239,SELL,1.15606,1.1541640574088343,TP,189.59425911657667,1.0,0.95
10240,SELL,1.15574,1.1538016247367748,TP,193.8375263225156,1.0,0.95
10241,SELL,1.15543,1.1562091108120551,SL,-77.91108120551726,1.0,0.95
10255,SELL,1.15402,1.1551318385543494,SL,-111.18385543493758,1.0,0.95
10256,SELL,1.15427,1.1553570643718958,SL,-108.70643718958739,1.0,0.95
10258,SELL,1.15425,1.1554874687696448,SL,-123.74687696448117,1.0,0.95
10264,SELL,1.15439,1.155426861383176,SL,-103.68613831759355,1.0,0.942
10278,SELL,1.15337,1.1542105149016784,SL,-84.05149016783575,1.0,0.712
10301,SELL,1.15282,1.153744066523545,SL,-92.40665235450419,1.0,0.665
10306,BUY,1.15399,1.1532899045089449,SL,-70.00954910552082,1.0,0.95
10317,BUY,1.15426,1.1537146072683937,SL,-54.53927316063645,1.0,0.769
10318,BUY,1.15427,1.1537421353206512,SL,-52.78646793487329,1.0,0.95
10320,BUY,1.1540300000000001,1.1534934840264799,SL,-53.65159735202241,1.0,0.95
10321,BUY,1.15431,1.1537612351674456,SL,-54.87648325543937,1.0,0.95
