bar,action,entry,exit,result,profit_usd,lot,score
10000,BUY,1.34296,1.3407008560455997,SL,-225.9143954400189,1.0,0.769
10010,SELL,1.34259,1.3441441892278474,SL,-155.41892278474467,1.0,0.769
10023,SELL,1.34046,1.3419491075829248,SL,-148.91075829248646,1.0,0.95
10024,SELL,1.34028,1.3417334570412873,SL,-145.34570412874092,1.0,0.95
10172,SELL,1.33791,1.333886970291348,TP,402.30297086518704,1.0,0.95
10173,SELL,1.33808,1.3341964724133948,TP,388.3527586605151,1.0,0.95
10174,SELL,1.33785,1.334085295812438,TP,376.4704187561918,1.0,0.95
10175,SELL,1.33771,1.33917946155538,SL,-146.94615553800804,1.0,0.95
10192,SELL,1.33628,1.3339801970650844,TP,229.9802934915496,1.0,0.712
10194,SELL,1.33618,1.3339433842040778,TP,223.6615795922159,1.0,0.712
10195,SELL,1.33617,1.3340288567609295,TP,214.1143239070553,1.0,0.712
10196,SELL,1.3361100000000001,1.3340703669922918,TP,203.96330077083746,1.0,0.769
10197,SELL,1.3363800000000001,1.3344024836356996,TP,197.75163643005467,1.0,0.769
10198,SELL,1.3361399999999999,1.3342180205188636,TP,192.197948113626,1.0,0.769
10199,SELL,1.33624,1.3344060190532308,TP,183.39809467693425,1.0,0.769
10200,SELL,1.33619,1.3344420176922855,TP,174.79823077144462,1.0,0.712
10302,BUY,1.3333599999999999,1.332311627598499,SL,-104.83724015009076,1.0,0.807
10320,BUY,1.33405,1.3333532417356289,SL,-69.67582643711,1.0,0.95
10321,BUY,1.33443,1.333711867325941,SL,-71.81326740590688,1.0,0.95
10378,SELL,1.32715,1.3229457979076593,TP,420.42020923407364,1.0,0.95
10379,SELL,1.3273,1.323158240914255,TP,414.1759085744878,1.0,0.95
10381,SELL,1.32701,1.32286366180872,TP,414.6338191280074,1.0,0.95
10414,BUY,1.32677,1.325930446709554,SL,-83.9553290445938,1.0,0.769
10420,BUY,1.3272300000000001,1.3264163356687182,SL,-81.3664331281938,1.0,0.95
10422,BUY,1.3266200000000001,1.3257379322857825,SL,-88.20677142176159,1.0,0.95
10435,SELL,1.32417,1.320147306531549,TP,402.26934684510775,1.0,0.95
10439,SELL,1.3237,1.325012292605099,SL,-131.2292605098797,1.0,0.95
10440,SELL,1.32437,1.3201196848857961,TP,425.03151142039286,1.0,0.95
10441,SELL,1.3235700000000001,1.3191893502510965,TP,438.06497489036195,1.0,0.95
10465,SELL,1.31942,1.3210305599545746,SL,-161.05599545745974,1.0,0.807
10467,SELL,1.31901,1.3206227787363425,SL,-161.27787363424684,1.0,0.807
10468,SELL,1.31903,1.3205854373980321,SL,-155.54373980322111,1.0,0.95
10505,BUY,1.32009,1.3191485959987452,SL,-94.14040012547531,1.0,0.95
10506,BUY,1.31998,1.3222575450029128,TP,227.75450029128842,1.0,0.95
10507,BUY,1.32001,1.3191451975703465,SL,-86.48024296533663,1.0,0.712
10508,BUY,1.32013,1.3192995406010362,SL,-83.04593989638676,1.0,0.712
10509,BUY,1.32002,1.3192128591295336,SL,-80.71408704664051,1.0,0.712
10510,BUY,1.3197,1.321655148449297,TP,195.51484492970062,1.0,0.95
10511,BUY,1.31928,1.3212497807029187,TP,196.9780702918644,1.0,0.95
10512,BUY,1.3201399999999999,1.3193123671674871,SL,-82.7632832512748,1.0,0.807
10513,BUY,1.32017,1.3193577695126668,SL,-81.22304873332541,1.0,0.807
10575,BUY,1.32246,1.3261848798120863,TP,372.4879812086357,1.0,0.606
10598,BUY,1.32399,1.326708232112332,TP,271.82321123320196,1.0,0.95
10619,BUY,1.32699,1.3323845165093873,TP,539.4516509387381,1.0,0.95
10638,BUY,1.33057,1.328387135751442,SL,-218.28642485579587,1.0,0.95
10644,BUY,1.33122,1.3295110674139052,SL,-170.89325860948355,1.0,0.95
10669,SELL,1.33057,1.3317301872539409,SL,-116.01872539408475,1.0,0.95
10670,SELL,1.33046,1.331560459592945,SL,-110.04595929449135,1.0,0.769
10674,SELL,1.3302100000000001,1.3313233587680682,SL,-111.33587680680623,1.0,0.769
10675,SELL,1.33086,1.3319641188560631,SL,-110.41188560632077,1.0,0.95
10676,SELL,1.3309,1.3319569675092016,SL,-105.69675092015896,1.0,0.712
10750,BUY,1.32311,1.3216132167353956,SL,-149.6783264604451,1.0,0.95
10755,BUY,1.32266,1.3213577665543657,SL,-130.22334456342932,1.0,0.95
10762,SELL,1.32229,1.3233530030052065,SL,-106.30030052065642,1.0,0.95
10763,SELL,1.32264,1.3236836456476917,SL,-104.36456476916601,1.0,0.606
10782,BUY,1.32346,1.3227947749184596,SL,-66.52250815404327,1.0,0.769
10800,SELL,1.32236,1.3228188461442063,SL,-45.88461442063263,1.0,0.712
10810,BUY,1.32386,1.3233658706089364,SL,-49.412939106363574,1.0,0.95
10813,BUY,1.3238699999999999,1.3233653096675777,SL,-50.46903324221752,1.0,0.95
10814,BUY,1.3238400000000001,1.3233516446913223,SL,-48.83553086778569,1.0,0.95
10816,BUY,1.32388,1.3233922446573134,SL,-48.77553426865244,1.0,0.95
10817,BUY,1.32351,1.323024512896077,SL,-48.54871039230435,1.0,0.95
10818,BUY,1.3235000000000001,1.323029476260643,SL,-47.052373935718705,1.0,0.807
10819,BUY,1.32337,1.3229082279563111,SL,-46.177204368880176,1.0,0.807
10820,BUY,1.3232300000000001,1.322784925959432,SL,-44.50740405681497,1.0,0.807
10828,SELL,1.32275,1.3214038033659348,TP,134.6196634065322,1.0,0.95
10857,SELL,1.31913,1.319753395735535,SL,-62.339573553504835,1.0,0.769
10858,SELL,1.31913,1.3197335103258538,SL,-60.35103258539287,1.0,0.95
10867,SELL,1.31857,1.3192526774130904,SL,-68.26774130903601,1.0,0.95
10890,BUY,1.32068,1.323355537348111,TP,267.5537348110879,1.0,0.807
10891,BUY,1.32088,1.3234608561089602,TP,258.08561089601943,1.0,0.807
10892,BUY,1.32089,1.32339579495832,TP,250.579495832004,1.0,0.807
10900,BUY,1.32144,1.3237688561049767,TP,232.88561049767952,1.0,0.807
10901,BUY,1.32155,1.323863580668907,TP,231.3580668906967,1.0,0.95
10918,BUY,1.3244,1.3231947605293253,SL,-120.52394706747461,1.0,0.95
10920,BUY,1.32354,1.3223408394359997,SL,-119.91605640002678,1.0,0.665
10921,BUY,1.32399,1.3228132794762855,SL,-117.67205237145362,1.0,0.665
10923,BUY,1.32381,1.3226791287321031,SL,-113.08712678967936,1.0,0.665
