bar,action,entry,exit,result,profit_usd,lot,score
10010,BUY,0.78663,0.7889937182721507,TP,236.37182721506497,1.0,0.769
10024,BUY,0.78789,0.7870406588419502,SL,-84.9341158049799,1.0,0.769
10047,SELL,0.78732,0.7882784419906896,SL,-95.8441990689618,1.0,0.95
10048,SELL,0.78706,0.7880196247056404,SL,-95.96247056403718,1.0,0.95
10051,SELL,0.78692,0.7878623653346544,SL,-94.23653346544158,1.0,0.95
10055,SELL,0.78706,0.788015201382837,SL,-95.52013828370009,1.0,0.943
10056,SELL,0.78713,0.788068401284063,SL,-93.8401284062973,1.0,0.95
10057,SELL,0.7871,0.7880228011923441,SL,-92.28011923441137,1.0,0.95
10105,SELL,0.78826,0.7894841167889186,SL,-122.411678891865,1.0,0.712
10134,BUY,0.78968,0.7890571028951494,SL,-62.289710485063935,1.0,0.95
10136,BUY,0.78953,0.7888768897412257,SL,-65.31102587742366,1.0,0.665
10173,BUY,0.79127,0.7943500726921882,TP,308.0072692188129,1.0,0.95
10176,BUY,0.79129,0.7941240377932717,TP,283.4037793271626,1.0,0.807
10178,BUY,0.79104,0.7938232264646066,TP,278.3226464606603,1.0,0.795
10241,BUY,0.79248,0.7917271691337915,SL,-75.2830866208476,1.0,0.95
10263,BUY,0.79323,0.7957604689709783,TP,253.04689709783054,1.0,0.95
10303,BUY,0.79499,0.7968863161586778,TP,189.63161586778023,1.0,0.95
10307,BUY,0.79499,0.796760928930862,TP,177.0928930862059,1.0,0.807
10310,BUY,0.79503,0.7966389106636677,TP,160.891066366764,1.0,0.807
10313,BUY,0.79534,0.7968864492449264,TP,154.64492449263068,1.0,0.807
10315,BUY,0.79531,0.7968462751142477,TP,153.62751142476984,1.0,0.798
10316,BUY,0.79537,0.7968879697489443,TP,151.79697489442478,1.0,0.807
10403,BUY,0.79881,0.7979552565366862,SL,-85.47434633138229,1.0,0.665
10404,BUY,0.79899,0.7981630953554943,SL,-82.69046445056327,1.0,0.665
10408,SELL,0.79837,0.799116452872546,SL,-74.6452872545933,1.0,0.95
10409,SELL,0.79835,0.7990602776673641,SL,-71.02776673640898,1.0,0.95
10410,SELL,0.7987,0.7993970435482667,SL,-69.70435482667182,1.0,0.95
10411,SELL,0.79857,0.799233326151962,SL,-66.33261519619626,1.0,0.95
10412,SELL,0.79833,0.7989877314268218,SL,-65.77314268217948,1.0,0.95
10413,SELL,0.79841,0.7990411077534774,SL,-63.110775347741125,1.0,0.769
10414,SELL,0.79863,0.7992460286282289,SL,-61.60286282289596,1.0,0.769
10415,SELL,0.79874,0.7993398837262127,SL,-59.98837262126688,1.0,0.95
10433,BUY,0.79977,0.7991138066778225,SL,-65.61933221774785,1.0,0.95
10434,BUY,0.79959,0.7989356776294066,SL,-65.43223705933742,1.0,0.95
10438,BUY,0.79944,0.7988039336155113,SL,-63.60663844887648,1.0,0.938
10439,BUY,0.79927,0.7986525812144034,SL,-61.741878559662396,1.0,0.95
10472,SELL,0.79998,0.7981743684985807,TP,180.56315014193245,1.0,0.95
10504,SELL,0.79858,0.7993588982322537,SL,-77.88982322537441,1.0,0.95
10506,SELL,0.79876,0.7994920091900556,SL,-73.20091900555603,1.0,0.95
10507,SELL,0.79871,0.799414008533623,SL,-70.40085336229573,1.0,0.95
10508,SELL,0.79865,0.7993208650669356,SL,-67.08650669355887,1.0,0.95
10509,SELL,0.79868,0.7993343747050116,SL,-65.43747050116178,1.0,0.95
10510,SELL,0.79868,0.7993147765117965,SL,-63.47765117965531,1.0,0.95
10511,SELL,0.7989,0.7995480067609539,SL,-64.80067609538898,1.0,0.95
10512,SELL,0.79861,0.799261720563743,SL,-65.17205637429635,1.0,0.807
10516,BUY,0.79929,0.8006167425562818,TP,132.67425562818457,1.0,0.95
10525,BUY,0.79965,0.8012090529736647,TP,155.9052973664765,1.0,0.95
10526,BUY,0.79991,0.7993017583395274,SL,-60.82416604725749,1.0,0.95
10575,SELL,0.7997,0.796759907871252,TP,294.00921287480173,1.0,0.769
10595,SELL,0.79787,0.7953699805511554,TP,250.00194488445925,1.0,0.95
10600,SELL,0.79768,0.7956027662558386,TP,207.72337441613553,1.0,0.769
10601,SELL,0.79798,0.7959511400947074,TP,202.88599052926682,1.0,0.769
10603,SELL,0.79783,0.7958728707959467,TP,195.71292040533314,1.0,0.807
10657,BUY,0.79293,0.7959868918905768,TP,305.6891890576785,1.0,0.95
10674,BUY,0.79354,0.7957581878491056,TP,221.8187849105546,1.0,0.769
10675,BUY,0.7941,0.7932118810168294,SL,-88.81189831706493,1.0,0.95
10676,BUY,0.79402,0.79317603237277,SL,-84.39676272299357,1.0,0.769
10677,BUY,0.79401,0.7932070300604294,SL,-80.29699395706302,1.0,0.758
10683,SELL,0.79376,0.79444321833524,SL,-68.32183352399879,1.0,0.95
10805,SELL,0.79834,0.7986685307758795,SL,-32.85307758794653,1.0,0.95
10806,SELL,0.79835,0.7986989928633166,SL,-34.899286331657734,1.0,0.95
10811,SELL,0.79813,0.7985174437775172,SL,-38.744377751720464,1.0,0.95
10812,SELL,0.79796,0.7983401263648374,SL,-38.01263648374187,1.0,0.95
10814,SELL,0.79798,0.7983566650798853,SL,-37.66650798853188,1.0,0.95
10815,SELL,0.79801,0.7983822604313221,SL,-37.22604313221023,1.0,0.95
10816,SELL,0.79799,0.7983517418290847,SL,-36.17418290847718,1.0,0.95
10817,SELL,0.7981,0.7984498316984359,SL,-34.983169843583184,1.0,0.95
10818,SELL,0.79808,0.7984252008628333,SL,-34.520086283329476,1.0,0.95
10819,SELL,0.79808,0.7984134008012024,SL,-33.34008012023659,1.0,0.95
10820,SELL,0.7981,0.7984224436011165,SL,-32.244360111644,1.0,0.95
10883,BUY,0.80114,0.8003178527192232,SL,-82.2147280776786,1.0,0.95
10886,BUY,0.80085,0.8000976102128766,SL,-75.2389787123331,1.0,0.807
10898,SELL,0.80033,0.7989445492403924,TP,138.54507596076093,1.0,0.95
10900,SELL,0.80032,0.7989417286817669,TP,137.8271318233093,1.0,0.95
10901,SELL,0.80021,0.7987873194902121,TP,142.2680509787888,1.0,0.95
10903,SELL,0.80025,0.7984781989481932,TP,177.1801051806854,1.0,0.935
10919,SELL,0.79838,0.7994845969913283,SL,-110.45969913283659,1.0,0.807
10920,SELL,0.7984,0.7994814114919478,SL,-108.14114919478479,1.0,0.665
10921,SELL,0.79823,0.7992884535282373,SL,-105.8453528237302,1.0,0.665
10922,SELL,0.79796,0.7990028497047917,SL,-104.28497047917374,1.0,0.807
10923,SELL,0.79816,0.7991726461544495,SL,-101.26461544495146,1.0,0.665
10924,SELL,0.79787,0.7988946000005602,SL,-102.46000005602608,1.0,0.807
10950,BUY,0.798,0.7972460572012812,SL,-75.39427987188762,1.0,0.95
10952,BUY,0.79819,0.7974884115664107,SL,-70.15884335892508,1.0,0.769
10953,BUY,0.7981,0.7974260250259528,SL,-67.39749740471979,1.0,0.769
10963,SELL,0.79769,0.7982661214556345,SL,-57.612145563445964,1.0,0.606
10985,BUY,0.79928,0.7986620984942838,SL,-61.79015057161674,1.0,0.95
10986,BUY,0.79934,0.7987533771732636,SL,-58.66228267364937,1.0,0.95
10987,BUY,0.79942,0.7989846733885229,SL,-43.532661147716034,1.0,0.95
10988,BUY,0.79922,0.7987911252893427,SL,-42.88747106573343,1.0,0.95
10989,BUY,0.79902,0.7985949734829609,SL,-42.502651703901776,1.0,0.95
10997,SELL,0.79856,0.799093380871462,SL,-53.33808714619303,1.0,0.95
10998,SELL,0.79891,0.799459925094929,SL,-54.992509492901576,1.0,0.95
11028,BUY,0.79996,0.7989657257674734,SL,-99.42742325266263,1.0,0.95
11030,BUY,0.80004,0.7989607533403215,SL,-107.92466596785121,1.0,0.947
11045,SELL,0.799,0.7966520129882388,TP,234.7987011761199,1.0,0.95
11047,SELL,0.79937,0.7970456642602671,TP,232.43357397328967,1.0,0.95
11146,BUY,0.79111,0.7900623955405374,SL,-104.76044594626144,1.0,0.95
11149,BUY,0.79123,0.7902942266773181,SL,-93.57733226819099,1.0,0.712
11155,BUY,0.79115,0.7902523288930579,SL,-89.76711069421661,1.0,0.712
11171,BUY,0.79152,0.7908763440654158,SL,-64.3655934584153,1.0,0.95
11208,SELL,0.79096,0.7892868964792571,TP,167.31035207429022,1.0,0.95
11234,SELL,0.78883,0.7900326070774315,SL,-120.26070774314724,1.0,0.95
11267,BUY,0.79087,0.7902595140496186,SL,-61.04859503813786,1.0,0.95
11268,BUY,0.7911,0.7904977630460744,SL,-60.22369539255834,1.0,0.95
11269,BUY,0.79063,0.7900182799713549,SL,-61.172002864517964,1.0,0.95
11270,BUY,0.79069,0.7901080456876866,SL,-58.195431231344855,1.0,0.95
