bar,action,entry,exit,result,profit_usd,lot,score
10037,SELL,159.373,159.5224422001448,SL,-799.9999999999351,0.053532402442194135,0.95
10038,SELL,159.366,159.51194632870593,SL,-796.8000000000161,0.054595412372829825,0.95
10050,BUY,159.61,159.488690336967,SL,-793.6128000000863,0.06542041088550221,0.95
10052,BUY,159.608,159.48775085177257,SL,-790.4383488000416,0.06573338443155281,0.769
10053,BUY,159.57,159.45384007664595,SL,-787.2765954048739,0.06777523371854433,0.769
10054,BUY,159.589,159.47824435688554,SL,-784.127489023166,0.07079797173068839,0.769
10055,BUY,159.557,159.44976261710798,SL,-780.9909790671406,0.07282823936999827,0.769
10056,BUY,159.554,159.4721950869945,SL,-777.8670151509245,0.09508805603138262,0.769
10057,BUY,159.533,159.45112400935204,SL,-774.7555470901438,0.09462548678299214,0.769
10058,BUY,159.537,159.46054372296976,SL,-771.6565249019111,0.1009278184702406,0.769
10065,SELL,159.518,159.57795580871488,SL,-768.5698988022627,0.12818939737053042,0.95
10066,SELL,159.507,159.56575896523523,SL,-765.4956192068784,0.13027724639846786,0.807
10067,SELL,159.492,159.54887618200414,SL,-762.4336367301178,0.13405147987509802,0.712
10068,SELL,159.461,159.5197278832896,SL,-759.3839021833959,0.12930551207490265,0.712
10070,SELL,159.496,159.55973373610172,SL,-756.3463665744372,0.11867284311834665,0.95
10079,BUY,159.67,159.60276395439928,SL,-753.3209811081009,0.11204123835328055,0.95
10082,BUY,159.635,159.5703639970172,SL,-750.3076971836738,0.11608200732702526,0.807
10087,BUY,159.622,159.5542871298873,SL,-747.3064663951438,0.1103640216625492,0.95
10088,BUY,159.625,159.5598951920382,SL,-744.3172405296541,0.11432600200070546,0.95
10089,BUY,159.633,159.5691169640355,SL,-741.3399715674425,0.11604645276707655,0.95
10090,BUY,159.616,159.55359432374723,SL,-738.3746116812757,0.11831850178025798,0.95
10113,SELL,159.553,159.60021200207834,SL,-735.4211132343266,0.15576994850039097,0.95
10115,SELL,159.555,159.59992055281245,SL,-732.479428781361,0.1630610896174178,0.95
