bar,action,entry,exit,result,profit_usd,lot,score
10037,SELL,90.868,89.073,TIMEOUT,179.50000000000017,1.0,0.807
10059,SELL,89.398,91.34416702009779,SL,-194.61670200977892,1.0,0.606
10126,BUY,91.73,90.57182022613863,SL,-115.81797738613773,1.0,0.95
10325,BUY,94.65,93.86702826174847,SL,-78.29717382515327,1.0,0.95
10326,BUY,94.855,94.0931333859093,SL,-76.18666140907067,1.0,0.95
10327,BUY,94.62,93.87933814405864,SL,-74.06618559413687,1.0,0.606
10441,BUY,102.234,100.82103320721973,SL,-141.29667927802672,1.0,0.95
10453,SELL,101.734,102.66685695366894,SL,-93.28569536689457,1.0,0.712
10540,SELL,103.057,104.54886599107566,SL,-149.1865991075656,1.0,0.95
10541,SELL,103.222,104.66373270599883,SL,-144.1732705998831,1.0,0.95
10542,SELL,103.247,104.62860894128463,SL,-138.16089412846253,1.0,0.769
10543,SELL,103.239,104.5533511597643,SL,-131.43511597642998,1.0,0.769
10544,SELL,103.072,104.35289750549542,SL,-128.08975054954175,1.0,0.95
10545,SELL,103.039,104.25911911224574,SL,-122.01191122457402,1.0,0.769
10547,SELL,103.162,104.07210253814873,SL,-91.01025381487204,1.0,0.95
10610,SELL,102.432,97.81338858114526,TP,461.86114188547407,1.0,0.606
10653,SELL,99.549,101.28910170837678,SL,-174.01017083767698,1.0,0.95
10654,SELL,99.744,101.45695158634986,SL,-171.29515863498597,1.0,0.95
10657,SELL,100.289,101.95644338017881,SL,-166.74433801788098,1.0,0.95
10658,SELL,100.354,101.96376885302317,SL,-160.97688530231693,1.0,0.95
10919,BUY,115.148,114.27779327950266,SL,-87.0206720497336,1.0,0.95
10956,BUY,115.923,114.38602550134713,SL,-153.69744986528673,1.0,0.95
11054,BUY,94.665,98.93927039666278,TP,427.42703966627715,1.0,0.807
11153,SELL,98.488,100.08892064242957,SL,-160.09206424295712,1.0,0.95
11159,SELL,98.641,100.03104445993284,SL,-139.0044459932838,1.0,0.95
11166,BUY,98.515,97.37653312039744,SL,-113.84668796025608,1.0,0.769
11167,BUY,98.54,97.45124504036906,SL,-108.87549596309469,1.0,0.769
11168,BUY,98.59,97.55544182319984,SL,-103.45581768001608,1.0,0.769
11169,BUY,98.695,97.70423169297128,SL,-99.07683070287163,1.0,0.769
11225,SELL,98.47,99.4116799039691,SL,-94.16799039691028,1.0,0.95
11309,BUY,104.272,103.61348091622179,SL,-65.85190837782164,1.0,0.665
11323,SELL,102.602,99.0660442952681,TP,353.59557047319043,1.0,0.95
